ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
15985684,18036616,"18036616,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036616,"https://data.kb.se/datasets/2014/10/suecia/18036616,1.tif",,004096239
15985948,18036617,"18036617,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036617,"https://data.kb.se/datasets/2014/10/suecia/18036617,1.tif",,004096240
15874831,18036618,"18036618,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036618,"https://data.kb.se/datasets/2014/10/suecia/18036618,1.tif",,004096241
16005696,18036619,"18036619,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036619,"https://data.kb.se/datasets/2014/10/suecia/18036619,1.tif",,004096242
16009834,18036620,"18036620,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036620,"https://data.kb.se/datasets/2014/10/suecia/18036620,1.tif",,004096243
16011687,18036621,"18036621,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036621,"https://data.kb.se/datasets/2014/10/suecia/18036621,1.tif",,004096244
16011708,18036622,"18036622,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036622,"https://data.kb.se/datasets/2014/10/suecia/18036622,1.tif",,004096245
16011763,18036623,"18036623,1.tif","18036623,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036623,"https://data.kb.se/datasets/2014/10/suecia/18036623,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036623,2.tif",004096246
16015156,18036624,"18036624,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036624,"https://data.kb.se/datasets/2014/10/suecia/18036624,1.tif",,004096247
16015216,18036625,"18036625,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036625,"https://data.kb.se/datasets/2014/10/suecia/18036625,1.tif",,004096248
16015266,18036626,"18036626,1.tif","18036626,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036626,"https://data.kb.se/datasets/2014/10/suecia/18036626,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036626,2.tif",004096249
16015336,18036627,"18036627,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036627,"https://data.kb.se/datasets/2014/10/suecia/18036627,1.tif",,004096250
