ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8449762,saknas,8449762.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449762,https://data.kb.se/datasets/2016/05/suecia/8449762.pdf,001924205
8449741,saknas,8449741.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449741,https://data.kb.se/datasets/2016/05/suecia/8449741.pdf,001924213
8449709,saknas,8449709.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449709,https://data.kb.se/datasets/2016/05/suecia/8449709.pdf,001924216
8449675,saknas,8449675.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449675,https://data.kb.se/datasets/2016/05/suecia/8449675.pdf,001924238
8449667,saknas,8449667.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449667,https://data.kb.se/datasets/2016/05/suecia/8449667.pdf,001924242
8449656,saknas,8449656.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449656,https://data.kb.se/datasets/2016/05/suecia/8449656.pdf,001924248
8450198,saknas,8450198.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8450198,https://data.kb.se/datasets/2016/05/suecia/8450198.pdf,001924306
8453383,saknas,8453383.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8453383,https://data.kb.se/datasets/2016/05/suecia/8453383.pdf,001924388
8453311,saknas,8453311.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8453311,https://data.kb.se/datasets/2016/05/suecia/8453311.pdf,001924402
8452650,saknas,8452650.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8452650,https://data.kb.se/datasets/2016/05/suecia/8452650.pdf,001924412
8453254,saknas,8453254.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8453254,https://data.kb.se/datasets/2016/05/suecia/8453254.pdf,001924415
8456198,saknas,8456198.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8456198,https://data.kb.se/datasets/2016/05/suecia/8456198.pdf,001924512
8454865,saknas,8454865.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8454865,https://data.kb.se/datasets/2016/05/suecia/8454865.pdf,001924552
8456244,saknas,8456244.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8456244,https://data.kb.se/datasets/2016/05/suecia/8456244.pdf,001924620
8456239,saknas,8456239.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8456239,https://data.kb.se/datasets/2016/05/suecia/8456239.pdf,001924623
8461313,saknas,8461313.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461313,https://data.kb.se/datasets/2016/05/suecia/8461313.pdf,001924890
8461479,saknas,8461479.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461479,https://data.kb.se/datasets/2016/05/suecia/8461479.pdf,001925004
8461463,saknas,8461463.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461463,https://data.kb.se/datasets/2016/05/suecia/8461463.pdf,001925007
8461430,saknas,8461430.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461430,https://data.kb.se/datasets/2016/05/suecia/8461430.pdf,001925011
8461719,saknas,8461719.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461719,https://data.kb.se/datasets/2016/05/suecia/8461719.pdf,001925106
8461687,saknas,8461687.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461687,https://data.kb.se/datasets/2016/05/suecia/8461687.pdf,001925117
8461662,saknas,8461662.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8461662,https://data.kb.se/datasets/2016/05/suecia/8461662.pdf,001925122
8462368,saknas,8462368.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462368,https://data.kb.se/datasets/2016/05/suecia/8462368.pdf,001925222
8462359,saknas,8462359.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462359,https://data.kb.se/datasets/2016/05/suecia/8462359.pdf,001925224
8462352,saknas,8462352.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462352,https://data.kb.se/datasets/2016/05/suecia/8462352.pdf,001925228
