LibrisCN_elekt;LibrisID_elekt;Status;url;epub;Omslagsbild
21964136;;LinkHld;https://litteraturbanken.se/författare/JohnsonJ/titlar/DeTre/info;;
21964104;;LinkHld;https://litteraturbanken.se/författare/MelanderR/titlar/IFrackOchVadmal/info;;
22548732;;LinkHld;https://litteraturbanken.se/författare/LandahlM/titlar/Dikter/info;;
21960885;;LinkHld;https://litteraturbanken.se/författare/IdstromE/titlar/Vinddrifne/info;;
22199188;;LinkHld;https://litteraturbanken.se/författare/NordlundS/titlar/Bitar/info;;
21975933;;LinkHld;https://litteraturbanken.se/författare/SandbergA/titlar/Småstadslif/info;;
22198673;;LinkHld;https://litteraturbanken.se/författare/NordensvanG/titlar/TreSmåRomaner/info;;
22115568;;LinkHld;https://litteraturbanken.se/författare/SchröderG/titlar/ÖrjanKajland/info;;
22502604;;LinkHld;https://litteraturbanken.se/författare/JohansonO/titlar/Dikter/info;;
22485958;;LinkHld;https://litteraturbanken.se/författare/EsselinH/titlar/UnderSömnlösaNätter/info;;
22502597;;LinkHld;https://litteraturbanken.se/författare/Kiellman-GöransonJA/titlar/EnSkräddaresKrigsäfventyr/info;;
22515332;;LinkHld;https://litteraturbanken.se/författare/VisénK/titlar/Dissonanser/info;;
22516520;;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/VålnadenPåStegeholm/info;;
22488271;;LinkHld;https://litteraturbanken.se/författare/HasselgrenA/titlar/Dagsländor/info;;
22551960;;LinkHld;https://litteraturbanken.se/författare/OlivecronaR/titlar/SpriddaBlad/info;;
22533819;;LinkHld;https://litteraturbanken.se/författare/WestinCE/titlar/EnModernDemokrat/info;;
;cmm153xj96hx5xxj;LinkHld;https://litteraturbanken.se/författare/BohmanJG/titlar/Kontraster/info;;
;z77mp8qwwsfp4wmr;LinkHld;https://litteraturbanken.se/författare/JohnsonJ/titlar/RiddarPettersson/info;;
;nxxbf4lcl9r8jvgg;LinkHld;https://litteraturbanken.se/författare/LjungbergE/titlar/NärSjönGårUpp/info;;
;r11fh1vhpvfffcqv;LinkHld;https://litteraturbanken.se/författare/HjorthE/titlar/FrånSolskensdagar/info;;
;5fftxwwf393xpr2z;LinkHld;https://litteraturbanken.se/författare/LandqvistR/titlar/Duellen/info;;
