eid;Länk i klartext;Epub;Omslagsbild
21520743;https://litteraturbanken.se/författare/BehmO/titlar/UnderRasten/info;;
21520723;https://litteraturbanken.se/författare/AlfthanGE/titlar/Skuggan/info;;
21520701;https://litteraturbanken.se/författare/AhrenbergJ/titlar/Hemma/info;;
21520023;https://litteraturbanken.se/författare/RubensonO/titlar/NärTimmenSlår/info;;
21520011;https://litteraturbanken.se/författare/WahlströmOF/titlar/StockholmskaSkuggsidor/info;;
21519090;https://litteraturbanken.se/författare/PihlstrandR/titlar/FornforskarensSagorOchBerättelser1/info;;
21505830;https://litteraturbanken.se/författare/OngelinH/titlar/GuldOchSlagg/info;;
21504487;https://litteraturbanken.se/författare/UllmanEE/titlar/EnSwenskAdelsmansÄfwentyr2/info;;
21331991;https://litteraturbanken.se/författare/Anonym/titlar/DiktförsökAfJanne/info;;
21331985;https://litteraturbanken.se/författare/HultgrenG/titlar/SkuggorOchDagrar/info;;
21331982;https://litteraturbanken.se/författare/BruzeliusV/titlar/FörNöjesSkull/info;;
21154241;https://litteraturbanken.se/författare/EngelbertR/titlar/VärdshusetVidHaga1/info;;
21154239;https://litteraturbanken.se/författare/HertzbergR/titlar/ProfessorerOchStudenter/info;;
21153352;https://litteraturbanken.se/författare/HertzbergR/titlar/Löjtnanten/info;;
21133928;https://litteraturbanken.se/författare/GripenbergA/titlar/Strån/info;;
21088590;https://litteraturbanken.se/författare/BergerL/titlar/Dikter1884/info;;
21088529;https://litteraturbanken.se/författare/HertzbergR/titlar/NyaDikter/info;;
21088514;https://litteraturbanken.se/författare/LjungbergE/titlar/RomantiskaÖden/info;;
21082928;https://litteraturbanken.se/författare/RipaE/titlar/FrånEttKälkborgarnäste/info;;
20916001;https://litteraturbanken.se/författare/GrönstedtJ/titlar/Vännerna/info;;
20915999;https://litteraturbanken.se/författare/GrönstedtJ/titlar/FrieriernaPåNordanfors/info;;
20915424;https://litteraturbanken.se/författare/HertzbergR/titlar/Dikter/info;;
20915312;https://litteraturbanken.se/författare/RingbomOE/titlar/UrFantasinsOchVerklighetensVerld/info;;
20915278;https://litteraturbanken.se/författare/SchenfeltI/titlar/MinMansIdeal/info;;
20915210;https://litteraturbanken.se/författare/OngelinH/titlar/SkiizzerOchBerättelser/info;;
20914395;https://litteraturbanken.se/författare/LundquistE/titlar/EnLifsgåta/info;;
20914394;https://litteraturbanken.se/författare/WallmarkE/titlar/ErnstWallmarksVisorOchKupletter2/info;;
20914325;https://litteraturbanken.se/författare/CarlénO/titlar/NordensJeanneDArc/info;;
20914312;https://litteraturbanken.se/författare/AhrenbergJ/titlar/PåFrämmandeBotten/info;;
20913965;https://litteraturbanken.se/författare/ZethraeusAG/titlar/Johannes/info;;
20910404;https://litteraturbanken.se/författare/LjungbergE/titlar/Snöflingan/info;;
20910046;https://litteraturbanken.se/författare/Anonym/titlar/Jernvägssmällar/info;;
20908466;https://litteraturbanken.se/författare/KnorringS/titlar/Skizzer2-2/info;;
20906936;https://litteraturbanken.se/författare/KnorringS/titlar/Förhoppningar2/info;;
20906915;https://litteraturbanken.se/författare/KnorringS/titlar/Förhoppningar3/info;;
20906814;https://litteraturbanken.se/författare/KnorringS/titlar/Förhoppningar1/info;;
20858041;https://litteraturbanken.se/författare/KnorringS/titlar/Skizzer2-1/info;;
20857954;https://litteraturbanken.se/författare/KnorringS/titlar/Vännerna2/info;;
20848791;https://litteraturbanken.se/författare/KnorringS/titlar/Vännerna1/info;;
20823721;https://litteraturbanken.se/författare/GripenbergA/titlar/ITätnandeLed/info;;
20808434;https://litteraturbanken.se/författare/KnorringS/titlar/Vännerna3/info;;
20796777;https://litteraturbanken.se/författare/EngströmCA/titlar/Ugglan/info;;
20696305;https://litteraturbanken.se/författare/WemanA/titlar/UppåtEllerNedåt/info;;
20677294;https://litteraturbanken.se/författare/WickströmVH/titlar/Bildning/info;;
20677045;https://litteraturbanken.se/författare/ZetterholmC/titlar/EbbesKjittesJohannes/info;;
20676646;https://litteraturbanken.se/författare/Anonym/titlar/LitteräraTidsfördrif/info;;
20402479,23;https://litteraturbanken.se/författare/ZilliacusKäldre/titlar/Mariquita/info;;
20402478;https://litteraturbanken.se/författare/ÅbergJO/titlar/EnModigFlicka/info;;
20396912;https://litteraturbanken.se/författare/BjörksténE/titlar/DeSista/info;;
20396893;https://litteraturbanken.se/författare/PetterssonV/titlar/PåLustfärd/info;;
20396885;https://litteraturbanken.se/författare/PfeifferS/titlar/SkönÖllegård/info;;
20216910;https://litteraturbanken.se/författare/RothSO/titlar/SolglimtarOchMolntappar1/info;;
20211177;https://litteraturbanken.se/författare/BehmO/titlar/Folklif/info;;
20195933;https://litteraturbanken.se/författare/QvantenAvon/titlar/SällsammaHistorier/info;;
20195932;https://litteraturbanken.se/författare/Anonym/titlar/SkuldOchOskuld1890/info;;
20195930;https://litteraturbanken.se/författare/SteijerA/titlar/GamlaMinnen/info;;
20174288;https://litteraturbanken.se/författare/OmbergJM/titlar/Irene/info;;
20174284;https://litteraturbanken.se/författare/OngelinH/titlar/Knallhattarne/info;;
20174283,2;https://litteraturbanken.se/författare/NordlingJohan/titlar/EttStorstadsbarn/info;;
20174282,2;https://litteraturbanken.se/författare/OlánO/titlar/Ögonkast/info;;
20172574,2;https://litteraturbanken.se/författare/NyblomH/titlar/DiktOchVerklighet/info;;
20168156,2;https://litteraturbanken.se/författare/LundqvistJ/titlar/Galenskaper/info;;
20143615;https://litteraturbanken.se/författare/Anonym/titlar/Gudrun/info;;
20130996;https://litteraturbanken.se/författare/MellinGH/titlar/Historisktromantiska2/info;;
