LIBRIS_ID	Sigel	Location_Code_852$c	Placering_852$h$l
19886801	Jon	SKON	Fiction (English) LE
435120964	Jon	SKON	Fiction (English) LEE
17529081	Jon	SKON	Fiction (English) LEE
21894203	Jon	SKON	Fiction (English) LEE
11479080	Jon	SKON	Fiction (English) LEFÈ
12186463	Jon	SKON	Fiction (English) LEHA
20004236	Jon	SKON	Fiction (English) LEHA
11779634	Jon	SKON	Fiction (English) LESS
5071821	Jon	SKON	Fiction (English) LESS
13554112	Jon	SKON	Fiction (English) LEVY
20862131	Jon	SKON	Fiction (English) LEWI
4572542	Jon	SKON	Fiction (English) LIVE
140167285	Jon	SKON	Fiction (English) LODG
12156066	Jon	SKON	Fiction (English) LODG
4573185	Jon	SKON	Fiction (English) LODG
4575020	Jon	SKON	Fiction (English) LOND
3cxzks7q1t8sqzsq	Jon	SKON	Fiction (English) LOUI
11653636	Jon	SKON	Fiction (English) LOVE
11312026	Jon	SKON	Fiction (English) LOVE
13988896	Jon	SKON	Fiction (English) LÄCK
14011605	Jon	SKON	Fiction (English) LÄCK
17751655	Jon	SKON	Fiction (English) LÄCK
8772673	Jon	SKON	Fiction (English) MACH
17187630	Jon	SKON	Fiction (English) MACK
19480881	Jon	SKON	Fiction (English) MACK
20799825	Jon	SKON	Fiction (English) MAGA
16467030	Jon	SKON	Fiction (English) MAGE
19498849	Jon	SKON	Fiction (English) MAHA
413554104	Jon	SKON	Fiction (English) MAME
11836787	Jon	SKON	Fiction (English) MANK
11940668	Jon	SKON	Fiction (English) MANK
13561439	Jon	SKON	Fiction (English) MANK
9986972	Jon	SKON	Fiction (English) MANK
140189181	Jon	SKON	Fiction (English) MANN
14179705	Jon	SKON	Fiction (English) MANT
11859572	Jon	SKON	Fiction (English) MARL
12101611	Jon	SKON	Fiction (English) MART
12192962	Jon	SKON	Fiction (English) MART
12192966	Jon	SKON	Fiction (English) MART
12192967	Jon	SKON	Fiction (English) MART
16768086	Jon	SKON	Fiction (English) MART
4583867	Jon	SKON	Fiction (English) MART
6541763	Jon	SKON	Fiction (English) MASO
19093105	Jon	SKON	Fiction (English) MAY
10102942	Jon	SKON	Fiction (English) MCCA
10155609	Jon	SKON	Fiction (English) MCCA
10155618	Jon	SKON	Fiction (English) MCCA
10155638	Jon	SKON	Fiction (English) MCCA
10155644	Jon	SKON	Fiction (English) MCCA
10155695	Jon	SKON	Fiction (English) MCCA
10155905	Jon	SKON	Fiction (English) MCCA
10451026	Jon	SKON	Fiction (English) MCCA
10715646	Jon	SKON	Fiction (English) MCCA
11846715	Jon	SKON	Fiction (English) MCCA
