instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
3mfgzt6f1m7rnsf	12053503	1722445	Originalversion:	h0sfllmt1f7z15s	1722445	12053503	Digitaliserad version:
6qjnqg2j5p554xd	14227696	10571	Originalversion:	1jbw1q3c31xdwd0	10571	14227696	Digitaliserad version:
9tmqx01m0x89xnb	13483279	800875	Originalversion	h0sdggnt3sj57zb	800875	13483279	Digitaliserad version
j2v3cc6v1b7vmz3	16888826	7263667	Originalversion	wd62v7z73mwsm9d	7263667	16888826	Digitaliserad version
0jbgj8kb5v1n2rl	14227420	7257413	Originalversion	fxqlcjjr0mkj2rr	7257413	14227420	Digitaliserad version
1kcgr58c0qs1st3	13576421	1428809	Originalversion	m4xkcvhz43r0kf1	1428809	13576421	Digitaliserad version
3mfpn8xf4cc91pv	17491963	7265557	Originalversion	wd62v9273cm71v8	7265557	17491963	Digitaliserad version
tc5kmsd524fj0c3	20915315	10151693	Originalversion:	fxqqxqdr27pnmbb	10151693	20915315	Digitaliserad version:
wf7bm2k75kz3cxg	13576807	1585045	Originalversion	h0sffjzt3qk4h3h	1585045	13576807	Digitaliserad version
1kch8bmc1sfwrw3	14795351	12103	Originalversion:	3ldz3vvf34tlctg	12103	14795351	Digitaliserad version:
2ldjbkzd5cd7wws	14801022	10387999	Orginalversion	9sll3ctm0kpr09k	10387999	14801022	Digitaliserad version
6qjngncj138bq6w	14800366	9955835	Orginalversion	tb433w6525hdffz	9955835	14800366	Digitaliserad version
6qjntldj0gjjnrz	14285596	10617	Originalversion:	k2vfk8nw18vknq2	10617	14285596	Digitaliserad version:
l4x24r4x4tkw0fz	14224708	7625474	Originalversion:	4mfbjv6g20mrkz7	7625474	14224708	Digitaliserad version:
q82680921c9v6vh	14227412	7257430	Originalversion	0h95x34b46lcddt	7257430	14227412	Digitaliserad version
0jbr9s2b1x94b49	22126270	2514222	Originalversion:	2kc15hzd5fkscwk	2514222	22126270	Digitaliserad version:
7rkw95vk1czn0t6	19510487	1626618	Originalversion:	8rk68txl2ss8r14	1626618	19510487	Digitaliserad version:
cwpzxc6p21sx12g	17487471	2519580	Originalversion:	n5zmr9j00bh41v9	2519580	17487471	Digitaliserad version:
k3w5twxw0w64d10	18036057	11304781	Originalversion:	p711mpw12xjcvnf	11304781	18036057	Digitaliserad version:
n609281016ml70z	18151230	111276	Orginalversion:	vc5q09t63cxbm65	111276	18151230	Digitaliserad version:
sb4c1dd423r0dp5	17206444	7615677	Originalversion:	k2vrzxqw35x7m65	7615677	17206444	Digitaliserad version:
tc5kllj5382c222	20883035	19696225	Orginalversion:	h1t5s9ht4d0602r	19696225	20883035	Digitaliserad version:
1kcn6ktc238343h	18770831	2399721	Originalversion:	cvnb9k1p2cdpv3f	2399721	18770831	Digitaliserad version:
