hubTitle	entity
Puranas. Bhāgavatapurāṇa. Urval	Puraṇa. · [Bhāgavata-purāṇa.] · Urval · eng
Den svenska psalmboken	Psalmboken 1724 Sthlm Horrn.
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet] · Urval. · kal
Pāñcarātra	Panchatantra. · [Urval.] · eng
Bibeln. Psaltaren. Urval	Bibeln. · [Psaltaren.] · Urval · udm
Dödsboken	Dödsboken. · swe
Apokryferna (Nya testamentet)	Apokryferna (Nya testamentet). · ger
Psalmböcker	Psalmboken 1637 Stockholm
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1685 · Hebreiska & Latin.
Koranen	Koranen. Kirgisiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1869 · Grekiska.
Bibeln	Bibeln. · 1701 · dut
Bibeln. Kungaböckerna	Bibeln. · [Kungaböckerna.] · nds
Didache	Didache. · eng
Den svenska psalmboken	Psalmboken 1799 Gbg.
Psalmböcker	Psalmboken 1690 Riga
Dödahavsrullarna	Dödahavsrullarna. · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna] · heb
Bibeln. Breven. Urval	Bible. · [N.T., Epistles.] · Selections. · eng
Den svenska psalmboken	Psalmboken 1759 Jönköping.
Bibeln	Bibeln. · Grekiska & latin
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1895 · Myrberg. · swe
Bibeln	Bibeln. · Tremellius · lat
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet. Estniska]
Ruodlieb	Ruodlieb
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · ger
Bibeln. Jesus Syraks vishet	Bible. · [O.T., Apocrypha., Ecclesiasticus.] · dan
Egils saga Skallagrímssonar	Egils saga Skallagrimssonar. · swe
Puranas. Śivapurāṇa	Purāṇa. · [Śivapurāṇa]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1879 · enm
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Hebreiska & Italienska
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Moksja-mordvinska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1829 · may
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Burjatiska]
Mahābhārata	Mahābhārata. · fre
Kalevipoeg	Kalevipoeg. · est
Bibeln. Psaltaren	Bible. · [O.T., Psalms.]
Den svenska psalmboken	Psalmboken 1801 Sthlm Lange.
Den svenska psalmboken	Psalmboken 1784 Sthlm Fougt.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1901 · swe
Bibeln	Bibeln. · 1847 · grc · ger · heb · lat
Avesta	Avesta. · Engelska & Pahlavi
Barlaams saga og Jósafats	Barlaams saga og Jósafats. · 1851
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Alexander.] · eng
Codex Calixtinus. Liber 5.	Codex Calixtinus. · [Liber 5.] · eng
Den svenska psalmboken	Psalmboken 1749 Lund.
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Litauiska]
Bibeln. Evangelierna	Bible. · [N.T., Gospels., White.] · Latin and Syriac.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1881 · Grekiska.
Bibeln	Bibeln. · Authorized. · 1629. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Confraternity version · eng
Bibeln. Jesaja	Bibeln. · [Jesaja. Arameiska]
Bhagavadgītā	Bhagavadgītā. · Judge. · 1943 · eng
Bibeln	Bibeln. · Authorized. · 1648. · eng
Guy of Warwick	Guy of Warwick (Romance)
Den svenska psalmboken	Psalmboken 1781 Örebro.
Bibeln. Joel	Bibeln. · [Joel.] · lat
Upanishaderna. Urval	Upanishaderna. · [Yoga upaniṣad]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1872 · mar
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · 1891 · Polyglott.
Bibeln. Nya Testamentet	Bibeln · [Nya Testamentet] · Grekiska & Latin
Haggadah	Haggada. · Tyska & Hebreiska
Bibeln. Gamla Testamentet	Bible. · [O.T.] · 1657. · Polyglot.
Själens tröst	Själens tröst. · 9fs · swe
Psalmböcker	Psalmboken 1622 Lübeck
Bibeln. Moseboken 4	Bibeln. · [Moseboken 4.] · heb
Edda Sæmundar	Edda Saemundar. · rus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1661. · eng
Sólarljóð	Sólarljóð. · dan
Tipiṭaka. Abhidhammapiṭaka. Dhammasaṅgaṇi	Abhidhammapiṭaka. · [Dhammasaṅgaṇi. engelska]
Færeyinga saga	Faereyinga saga. · fao
Catonis disticha	Catonis disticha. · 1699
Upanishaderna. Urval	Upanishaderna. · Urval · swe
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1653 · lat
Bibeln. Matteusevangeliet. Urval	Bibeln. · [Matteusevangeliet.] · Urval · fre
Batrachomyomachia	Batrachomyomachia. · lat
Beowulf	Beowulf. · ita
Mishnah. Kodashim	Mishna. · [Kodashim.] · Engelska & hebreiska
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · 2002 · bak
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · ger
Den svenska psalmboken	Psalmboken 1732 Sthlm Schneider.
Bibeln. Efesierbrevet	Bibeln. · [Efesierbrevet.] · Barth · eng
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Lindblom · swe
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Monrad. · 1865 · dan
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Eskimå-språk.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1818 · Kreolspråk (nederländskt).
Den svenska psalmboken	Psalmboken 1741 Sthlm Grefing.
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1904 · nor
Bibeln. Salomos vishet	Salomos vishet
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1921. · 1979 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Luther. · 1947 · ger
Sir Gawain and the Green Knight	Sir Gawain and the Green knight. · eng
Bibeln	Bibeln. · 1703. · 1814 Rumstedt. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1862 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1601 · Grekiska
Edda Sæmundar	Edda Sæmundar. · ita
Bibeln. Jesaja. Urval	Bibeln. · [Jesaja.] · Urval · heb
Bibeln. Petrusbrevet 1	Bibeln. · [Petrusbrevet 1.] · Brun. · 1949 · nor
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1906 · mus
Tusen och en natt	Tusen och en natt. Italienska
Den svenska psalmboken	Psalmboken 1741 Jönköping.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1884 · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1580. · lat
Tipiṭaka. Suttapiṭaka. Khuddakanikāya. Dhammapada	Dhammapada. · Engelska & Pali
Gilgamesh	Gilgamesh. Tyska & Sumeriska. · Urval
Bibeln	Bibeln. · Allioli · 183- · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1963 · swe
Bibeln	Bibeln. · 1703. · 1815 Rumstedt. · swe
Gilgamesh	Gilgamesh. Danska
Sifrei	Sifre. · [Moseboken 4.] · ger
Den svenska psalmboken	Psalmboken 1805 Örebro.
Njáls saga. Urval	Njáls saga. · Urval · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1596 · spa
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Gibbs.] · Selections. · eng
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · Dödahavsrullarna
Bibeln. Urval	Bibeln. · Urval. · 1978 · ger
Bibeln. Krönikeböckerna	Bibeln. · [Krönikeböckerna.] · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Folkbibeln. · 2011 · swe
Bibeln. Moseboken 3	Bible. · [O.T., Leviticus.]
Bibeln	Bibeln. · 1846 · pol
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · hau · ssa
Midrash ha-gadol	Midrash hagadol. · [Moseboken 2]
Tantras. Mr̥gendratantra	Tantras · [Mr̥gendratantra]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Geneva-Tomson. · 1587. · eng
Bibeln	Bibeln. · 1495 · lat
Bibeln	Bibeln · 1740 · dan
Bibeln. Breven	Bible. · [N.T., Epistles., Macknight.] · Specimen. · English and Greek.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1863 · Svenska & Engelska.
Biblia pauperum	Biblia pauperum. · Engelska & Latin
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Hedegård. · 1966 · swe
Koranen	Qurʼan · [Latin.]
Tipiṭaka. Vinayapiṭaka. Suttavibhaṅga. Pātimokkha	Tipiṭaka. · [Vinayapiṭaka., Suttavibhaṅga., Pātimokkha.] · Engelska & pali
Bibeln	Bibeln. · New Revised Standard · eng
Upanishaderna. Śvetāśvataropaniṣad	Upanishaderna. · [Śvetāśvataropaniṣad.] · Engelska & Sanskrit.
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · Evangeliarium Spalatense. · 2004. · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1990 · swe
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet] · Ciachir. · 1975. · Gagauziska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Folkbibeln. · 1996 · swe
Bibeln	Bibeln. · 1899 · orm
Gutalagen	Gutalagen. · Svenska & Fornsvenska
Henoksboken 2	Henoksboken 2. · chu
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1617. · eng
Bibeln. Rut	Bibeln. · [Rut.] · eng
Bibeln. Markusevangeliet	Bible. · [N.T., Mark.] · eng
Edda Sæmundar	Edda Sæmundar. · Engelska & fornisländska
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Nylatin.
Bibeln. Apokryferna	Bible. · [Apocrypha.] · New Revised Standard. · 2018. · eng
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1841 · ger
Den svenska psalmboken	Psalmboken 1828 Jönköping.
Puranas. Nāradapurāṇa	Purāṇa. · [Nārada-Purāṇa. Engelska]
Bibeln. Job	Bibeln. · [Job.] · Tingstadius. · 1797 · swe
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · Iriska & Latin
Bibeln	Bibeln. · 1980 · Einheitsübersetzung. · ger
Bibeln. Amos	Bibeln. · [Amos.] · 1910? · swe
Chanson de Roland	Rolandssången. · ger
Haggadah	Haggādāh. Engelska & Hebreiska
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · swa
Bibeln. Apokryferna. Urval	Bibeln. · [Apokryferna, Tillägg till Daniel. Engelska]
Bibeln. Evangelierna	Bibeln. · [Evangelierna] · 1813 · iku
Aisopos fabler	Aesop's fables. · 1667. · lat
Faust	Faust · swe
Bibeln. Jesaja	Bible. · [O.T., Isaiah., Green.] · Selections. · eng
Bibeln	Bibeln. · 1645 · dut
Bibeln	Bibeln. · Authorized. · 1903 · eng
Bibeln	Bibeln. · Luther. · 1580 · ger
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · ava
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1.] · Acre. · 
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · suk
Bibeln	Bibeln. · 1626 · hun
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Coverdale. · 1538. · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · 1596 · Polyglott.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1847 · bre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1716. · cop
Västgötalagarna	Äldre Västgötalagen. · fre
Bibeln	Bibeln · 1665 · ger
Bibeln	Bibeln. · 1614. · Authorized. · eng
Den svenska psalmboken	Psalmboken 1709 Sthlm Laurelius.
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1956 · 1536. · swe
Mormons bok	Book of Mormon. · dan
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Grekiska & Engelska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1696. · eng
Bibeln. Moseboken 4	Bibeln. · [Moseboken 4] · heb
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Ginsberg · eng
Den svenska psalmboken	Psalmboken 1756 Sthlm kongl.tr.
Bibeln	Bibeln. · 1616 · eng
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1897 · ara
Bibeln	Bibeln. · 1922 · rus
Mahābhārata	Mahābhārata. · eng
Bhagavadgītā	Bhagavadgita. Ryska
Bibeln	Bibeln. · Luther. · 1847 · ger
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Duport and Buchanan.] · Polyglot.
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · swe
Bibeln	Bibeln. · 1703. · 1709 Keyser. · swe
Reynard the Fox	Reynard the Fox. · 1694. · eng
Bibeln	Bibeln. · New English · eng
Gilgamesh	Gilgamesj-eposet. · chi
Bibeln. Jesus Syraks vishet. Urval	Bibeln. · [Apokryferna., Syrak.] · Urval · Hebreiska & Engelska.
Bibeln	Bibeln. · 1897 · eng
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet. Arabiska]
Bibeln	Bibeln. · 1997 · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1910 · swe
Popol vuh	Popol vuh · rus
Bhagavadgītā. Urval	Bhagavadgītā. · Urval. · 1910 · Runeberg. · swe
Bibeln. Höga visan	Bible. · [O.T., Song of Solomon., Authorised.] · eng
Nag Hammadi-skrifterna	Nag Hammadi-skrifterna. · Urval · Koptiska & Engelska.
Domesday book	Domesday Book. · [Hampshire.]
Bibeln. Timotheosbrevet 1	Bible. · [N.T., 1 Timothy., Authorised.] · eng
Psalmböcker	Psalmboken 1653 Linköping
Paulusapokalypsen	Paulusapokalypsen. · lat
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Normaluppl. · 1896 · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Myddleton. · 1603. · wel
Bibeln	Bibeln. · Authorized. · 1963 · eng
Den svenska psalmboken	Psalmboken 1829 Örebro.
Tusen och en natt	Tusen och en natt. · dan
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Engelska. 1530]
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Hunde
Imitatio Christi. Urval	Imitatio Christi. · [Book 4.] · eng
Bibeln. Jesaja. Urval	Bibeln. · [Jesaja., 52-53.] · Bergquist · swe
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Gamla Testamentet.] · Urval. · 1917. · 1925 · swe
Tusen och en natt	Tusen och en natt. Tyska
Mishnah. Tamid	Mishna. · [Tamid]
Bhagavadgītā	Bhagavadgītā. · Prabhavananda-Isherwood. · 1954 · eng
Bibeln	Bibeln. · Einheitsübersetzung. · 1996 · ger
Bhagavadgītā	Bhagavadgītā. · 1986 · Sanskrit & Svenska.
Bibeln. Gamla Testamentet	Raamattu. · [UT.]
