entity	originDate	originPlace	marc:version
Psalmboken 1622 Stockholm	1622	Stockholm	
Psalmboken 1626 Stockholm	1626	Stockholm	
Psalmboken 1637 Stockholm	1637	Stockholm	
Psalmboken 1639 Stockholm	1639	Stockholm	
Psalmboken 1642 Stockholm	1642	Stockholm	
Psalmboken 1645 Stockholm	1645	Stockholm	
Psalmboken 1648 Stockholm	1648	Stockholm	
Psalmboken 1649 Stockholm	1649	Stockholm	
Psalmboken 1650 Stockholm	1650	Stockholm	
Psalmboken 1650 Strängnäs	1650	Strängnäs	
Psalmboken 1651 Stockholm	1651	Stockholm	
Psalmboken 1652 Strängnäs	1652	Strängnäs	
Psalmboken 1653 Linköping	1653	Linköping	
Psalmboken 1659 Göteborg	1659	Göteborg	
Psalmboken 1659 Stockholm	1659	Stockholm	
Psalmboken 166-?	166-?		
Psalmboken 1661 Stockholm	1661	Stockholm	
Psalmboken 1661 Strängnäs	1661	Strängnäs	
Psalmboken 1663 Stockholm	1663	Stockholm	
Psalmboken 1665 Stockholm	1665	Stockholm	
Psalmboken 1670 Linköping	1670	Linköping	
Psalmboken 1671 Stockholm	1671	Stockholm	
Psalmboken 1673 Åbo	1673	Åbo	
Psalmboken 1674 Göteborg	1674	Göteborg	
Psalmboken 1675 Göteborg	1675	Göteborg	
Psalmboken 1677 Stockholm	1677	Stockholm	
Psalmboken 1678 Stockholm	1678	Stockholm	
Psalmboken 1679 Västerås	1679	Västerås	
Psalmboken 1680 Göteborg	1680	Göteborg	
Psalmboken 1681 Stockholm	1681	Stockholm	
Psalmboken 1682 Stockholm	1682	Stockholm	
Psalmboken 1682 Västerås	1682	Västerås	
Psalmboken 1683 Stockholm	1683	Stockholm	
Psalmboken -1685 Stockholm	-1685	Stockholm	
Psalmboken 1686 Lund	1686	Lund	
Psalmboken 1690 Riga	1690	Riga	
Psalmboken 1690 Stockholm	1690	Stockholm	
Psalmboken 1691 Stockholm	1691	Stockholm	
Psalmboken 1694 Stockholm	1694	Stockholm	
Psalmboken 1695 Stockholm	1695	Stockholm	
[Psalmboken 1695 Stockholm]	1695	Stockholm]	
psalmboken 1695 stockholm	1695	stockholm	
Psalmboken 1696 Stockholm	1696	Stockholm	
Psalmboken 1697 Stockholm	1697	Stockholm	
Psalmboken 1698	1698		
Psalmboken 1698 Sthlm	1698	Sthlm	
Psalmboken 1698 Stockholm	1698	Stockholm	
Psalmboken 1698 Strängnäs	1698	Strängnäs	
Psalmboken 1698? Lund	1698?	Lund	
Psalmboken 1699 Göteborg	1699	Göteborg	
Psalmboken 1699 Stockholm	1699	Stockholm	
Psalmboken 17--?	17--?		
Psalmboken 1700 Sthlm Eberdt.	1700	Sthlm	Eberdt.
Psalmboken 1700 Sthlm Laurelius.	1700	Sthlm	Laurelius.
Psalmboken 1701 Lund.	1701	Lund.	
Psalmboken 1701 Sthlm Keyser.	1701	Sthlm	Keyser.
Psalmboken 1701 Strängnäs.	1701	Strängnäs.	
Psalmboken 1702 Sthlm Enaeus.	1702	Sthlm	Enaeus.
Psalmboken 1703 Lund.	1703	Lund.	
Psalmboken 1705 Sthlm Enaeus.	1705	Sthlm	Enaeus.
Psalmboken 1705 Sthlm Keyser.	1705	Sthlm	Keyser.
Psalmboken 1705 Sthlm Werner.	1705	Sthlm	Werner.
Psalmboken 1705 Västerås.	1705	Västerås.	
Psalmboken 1706 Sthlm Enaeus.	1706	Sthlm	Enaeus.
Psalmboken 1706 Sthlm Werner	1706	Sthlm	Werner
Psalmboken 1706 Sthlm Werner.	1706	Sthlm	Werner.
Psalmboken 1707 Sthlm Enaeus.	1707	Sthlm	Enaeus.
Psalmboken 1707 Sthlm Keyser.	1707	Sthlm	Keyser.
Psalmboken 1708 Lund.	1708	Lund.	
Psalmboken 1708 Sthlm Werner.	1708	Sthlm	Werner.
Psalmboken 1709 Sthlm Laurelius.	1709	Sthlm	Laurelius.
Psalmboken 1709 Sthlm Matthiae.	1709	Sthlm	Matthiae.
Psalmboken 1709 Sthlm Werner.	1709	Sthlm	Werner.
Psalmboken 1711 Gbg.	1711	Gbg.	
Psalmboken 1713 Sthlm Laurelius.	1713	Sthlm	Laurelius.
Psalmboken 1717 Sthlm Laurelius.	1717	Sthlm	Laurelius.
Psalmboken 1718 Sthlm Horrn.	1718	Sthlm	Horrn.
Psalmboken 1718 Sthlm Werner.	1718	Sthlm	Werner.
Psalmboken 1723 Sthlm Werner.	1723	Sthlm	Werner.
Psalmboken 1724 Sthlm Horrn.	1724	Sthlm	Horrn.
Psalmboken 1724 Uppsala.	1724	Uppsala.	
Psalmboken 1725 Sthlm Horrn.	1725	Sthlm	Horrn.
Psalmboken 1726 Jönköping	1726	Jönköping	
Psalmboken 1726 Norrköping.	1726	Norrköping.	
Psalmboken 1726 Skara.	1726	Skara.	
Psalmboken 1727 Sthlm Björkman.	1727	Sthlm	Björkman.
Psalmboken 1730 Sthlm Graesler.	1730	Sthlm	Graesler.
Psalmboken 1731 Sthlm Gercken.	1731	Sthlm	Gercken.
Psalmboken 1731 Sthlm Graesler.	1731	Sthlm	Graesler.
Psalmboken 1732 Jönköping.	1732	Jönköping.	
Psalmboken 1732 Sthlm Schneider.	1732	Sthlm	Schneider.
Psalmboken 1733 Norrköping.	1733	Norrköping.	
Psalmboken 1733 Sthlm Horrn.	1733	Sthlm	Horrn.
Psalmboken 1734 Norrköping.	1734	Norrköping.	
Psalmboken 1734 Skara.	1734	Skara.	
Psalmboken 1737 Sthlm Horrn.	1737	Sthlm	Horrn.
Psalmboken 1737 Sthlm Schneider.	1737	Sthlm	Schneider.
Psalmboken 1738 Gbg.	1738	Gbg.	
Psalmboken 1738 Jönköping.	1738	Jönköping.	
Psalmboken 1738 Sthlm Schneider.	1738	Sthlm	Schneider.
Psalmboken 1739 Karlskrona.	1739	Karlskrona.	
Psalmboken 1739 Skara.	1739	Skara.	
Psalmboken 1739 Sthlm Momma.	1739	Sthlm	Momma.
Psalmboken 1739 Sthlm Schneider.	1739	Sthlm	Schneider.
Psalmboken 1740 Jönköping	1740	Jönköping	
Psalmboken 1740 Karlskrona	1740	Karlskrona	
Psalmboken 1740 Sthlm	1740	Sthlm	
Psalmboken 1740 Sthlm Schneidler.	1740	Sthlm	Schneidler.
Psalmboken 1741 Jönköping.	1741	Jönköping.	
Psalmboken 1741 Sthlm Grefing.	1741	Sthlm	Grefing.
Psalmboken 1742 Reval	1742	Reval	
Psalmboken 1742 Skara.	1742	Skara.	
Psalmboken 1742 Stockholm Grefing.	1742	Stockholm	Grefing.
Psalmboken 1743 Jönköping.	1743	Jönköping.	
Psalmboken 1744 Västerås.	1744	Västerås.	
Psalmboken 1745 Gbg.	1745	Gbg.	
Psalmboken 1745 Jönköping.	1745	Jönköping.	
