SAB	Översättning
Aa-c.096	Bibliografi: Sverige: mikroformer
Aa-c.097	Bibliografi: Sverige: videoinspelningar och filminspelningar
Aa-c.099	Bibliografi: Sverige: talböcker och böcker med punktskrift
Aa-cj-c	Bibliografi: Sverige
Aa-da(p)	Bibliografi: Danmark: periodika
Aa-da	Bibliografi: Danmark
Aa-da.01(p)	Bibliografi: Danmark: nationalbibliografier: periodika
Aa-da.01	Bibliografi: Danmark: nationalbibliografier
Aa-da.011(p)	Bibliografi: Danmark: periodikaförteckningar: periodika
Aa-da.011	Bibliografi: Danmark: periodikaförteckningar
Aa-da.012	Bibliografi: Danmark: författarlexikon
Aa-da.016	Bibliografi: Danmark: översättningar
Aa-da.018(p)	Bibliografi: Danmark: officiellt tryck: periodika
Aa-da.018	Bibliografi: Danmark: officiellt tryck
Aa-da.021	Bibliografi: Danmark: handskrifter
Aa-da.022	Bibliografi: Danmark: inkunabler
Aa-da.023	Bibliografi: Danmark: rariteter
Aa-da.04(p)	Bibliografi: Danmark: tidskriftsindex och tidningsindex: periodika
Aa-da.04	Bibliografi: Danmark: tidskriftsindex och tidningsindex
Aa-da.05	Bibliografi: Danmark: avhandlingar och program
Aa-da.061	Bibliografi: Danmark: barnböcker och ungdomsböcker
Aa-da.065	Bibliografi: Danmark: skolböcker
Aa-da.094	Bibliografi: Danmark: kartor
Aa-da.096	Bibliografi: Danmark: mikroformer
Aa-db(p)	Bibliografi: Norge: periodika
Aa-db	Bibliografi: Norge
Aa-db.01(p)	Bibliografi: Norge: nationalbibliografier: periodika
Aa-db.01	Bibliografi: Norge: nationalbibliografier
Aa-db.011(p)	Bibliografi: Norge: periodikaförteckningar: periodika
Aa-db.011	Bibliografi: Norge: periodikaförteckningar
Aa-db.012	Bibliografi: Norge: författarlexikon
Aa-db.014	Bibliografi: Norge: anonymlexikon och pseudonymlexikon
Aa-db.016	Bibliografi: Norge: översättningar
Aa-db.018(p)	Bibliografi: Norge: officiellt tryck: periodika
Aa-db.018	Bibliografi: Norge: officiellt tryck
Aa-db.021	Bibliografi: Norge: handskrifter
Aa-db.04(p)	Bibliografi: Norge: tidskriftsindex och tidningsindex: periodika
Aa-db.04	Bibliografi: Norge: tidskriftsindex och tidningsindex
Aa-db.05	Bibliografi: Norge: avhandlingar och program
Aa-db.061	Bibliografi: Norge: barnböcker och ungdomsböcker
Aa-db.065	Bibliografi: Norge: skolböcker
Aa-db.094(p)	Bibliografi: Norge: kartor: periodika
Aa-db.094	Bibliografi: Norge: kartor
Aa-dc(p)	Bibliografi: Island: periodika
Aa-dc.01(p)	Bibliografi: Island: nationalbibliografier: periodika
Aa-dc.01	Bibliografi: Island: nationalbibliografier
Aa-dc.011	Bibliografi: Island: periodikaförteckningar
Aa-dc.012	Bibliografi: Island: författarlexikon
Aa-dc.016	Bibliografi: Island: översättningar
Aa-dc.021	Bibliografi: Island: handskrifter
Aa-dcf	Bibliografi: Färöarna
Aa-dcf.011	Bibliografi: Färöarna: periodikaförteckningar
Aa-dd(p)	Bibliografi: Finland: periodika
Aa-dd	Bibliografi: Finland
Aa-dd.01(p)	Bibliografi: Finland: nationalbibliografier: periodika
Aa-dd.01	Bibliografi: Finland: nationalbibliografier
Aa-dd.011(p)	Bibliografi: Finland: periodikaförteckningar: periodika
Aa-dd.011	Bibliografi: Finland: periodikaförteckningar
Aa-dd.012	Bibliografi: Finland: författarlexikon
Aa-dd.016	Bibliografi: Finland: översättningar
Aa-dd.018(p)	Bibliografi: Finland: officiellt tryck: periodika
Aa-dd.018	Bibliografi: Finland: officiellt tryck
Aa-dd.021	Bibliografi: Finland: handskrifter
Aa-dd.04	Bibliografi: Finland: tidskriftsindex och tidningsindex
Aa-dd.05(p)	Bibliografi: Finland: avhandlingar och program: periodika
Aa-dd.05	Bibliografi: Finland: avhandlingar och program
Aa-dd.061	Bibliografi: Finland: barnböcker och ungdomsböcker
Aa-dd.061=ub	Bibliografi: Finland: barnböcker och ungdomsböcker: finska
Aa-dd.092	Bibliografi: Finland: festskrifter
Aa-dd.096	Bibliografi: Finland: mikroformer
Aa-dd.097	Bibliografi: Finland: videoinspelningar och filminspelningar
Aa-e(p)	Bibliografi: Brittiska öarna (Storbritannien): periodika
Aa-e	Bibliografi: Brittiska öarna (Storbritannien)
Aa-e.01(p)	Bibliografi: Brittiska öarna (Storbritannien): nationalbibliografier: periodika
Aa-e.01	Bibliografi: Brittiska öarna (Storbritannien): nationalbibliografier
Aa-e.011(p)	Bibliografi: Brittiska öarna (Storbritannien): periodikaförteckningar: periodika
Aa-e.011	Bibliografi: Brittiska öarna (Storbritannien): periodikaförteckningar
Aa-e.012	Bibliografi: Brittiska öarna (Storbritannien): författarlexikon
Aa-e.014	Bibliografi: Brittiska öarna (Storbritannien): anonymlexikon och pseudonymlexikon
Aa-e.016	Bibliografi: Brittiska öarna (Storbritannien): översättningar
Aa-e.018(p)	Bibliografi: Brittiska öarna (Storbritannien): officiellt tryck: periodika
Aa-e.018	Bibliografi: Brittiska öarna (Storbritannien): officiellt tryck
Aa-e.021	Bibliografi: Brittiska öarna (Storbritannien): handskrifter
Aa-e.04(p)	Bibliografi: Brittiska öarna (Storbritannien): tidskriftsindex och tidningsindex: periodika
Aa-e.04	Bibliografi: Brittiska öarna (Storbritannien): tidskriftsindex och tidningsindex
Aa-e.05(p)	Bibliografi: Brittiska öarna (Storbritannien): avhandlingar och program: periodika
Aa-e.05	Bibliografi: Brittiska öarna (Storbritannien): avhandlingar och program
Aa-e.06	Bibliografi: Brittiska öarna (Storbritannien): barnböcker och skolböcker
Aa-e.061	Bibliografi: Brittiska öarna (Storbritannien): barnböcker och ungdomsböcker
Aa-e.094	Bibliografi: Brittiska öarna (Storbritannien): kartor
Aa-e.43	Bibliografi: Brittiska öarna (Storbritannien): 1648-1789
Aa-er(p)	Bibliografi: Wales: periodika
Aa-es(p)	Bibliografi: Skottland: periodika
Aa-es.011	Bibliografi: Skottland: periodikaförteckningar
Aa-es.012	Bibliografi: Skottland: författarlexikon
Aa-es.05	Bibliografi: Skottland: avhandlingar och program
Aa-et(p)	Bibliografi: Irland: periodika
Aa-et.012	Bibliografi: Irland: författarlexikon
Aa-et.05(p)	Bibliografi: Irland: avhandlingar och program: periodika
Aa-f	Bibliografi: Mellaneuropa
