SAB	Översättning
Qad:oi-c	Ekonomiska förhållanden: statistik: Sverige
Qad:pu	Ekonomiska förhållanden: databehandling
Qad:t	Ekonomiska förhållanden: matematik och statistisk metod
Qad.oc	Ekonomiska förhållanden: statskunskap och politik
Qad.p	Ekonomiska förhållanden: teknik, industri och kommunikationer
Qad-a(k)	Ekonomiska förhållanden: Europa: kongresstryck
Qad-a(p)	Ekonomiska förhållanden: Europa: periodika
Qad-a(x)	Ekonomiska förhållanden: Europa: lexikon
Qad-a(ya)	Ekonomiska förhållanden: Europa: kartor
Qad-a	Ekonomiska förhållanden: Europa
Qad-a:a	Ekonomiska förhållanden: Europa: bibliografi
Qad-a:k	Ekonomiska förhållanden: Europa: historia
Qad-a:k.2	Ekonomiska förhållanden: Europa: historia: forntiden
Qad-a:oi(p)	Ekonomiska förhållanden: Europa: statistik: periodika
Qad-a:oi	Ekonomiska förhållanden: Europa: statistik
Qad-ae(p)	Ekonomiska förhållanden: Europeiska unionen: periodika
Qad-ae	Ekonomiska förhållanden: Europeiska unionen
Qad-ae:oi(p)	Ekonomiska förhållanden: Europeiska unionen: statistik: periodika
Qad-ae:oi	Ekonomiska förhållanden: Europeiska unionen: statistik
Qad-b(k)	Ekonomiska förhållanden: Norden: kongresstryck
Qad-b(p)	Ekonomiska förhållanden: Norden: periodika
Qad-b	Ekonomiska förhållanden: Norden
Qad-b:oi	Ekonomiska förhållanden: Norden: statistik
Qad-bc	Ekonomiska förhållanden: Nordkalotten
Qad-c(k)	Ekonomiska förhållanden: Sverige: kongresstryck
Qad-c(p)	Ekonomiska förhållanden: Sverige: periodika
Qad-c	Ekonomiska förhållanden: Sverige
Qad-c	Ekonomiska förhållanden: Sverige
Qad-c:a	Ekonomiska förhållanden: Sverige: bibliografi
Qad-c:b	Ekonomiska förhållanden: Sverige: forskning
Qad-c:bf	Ekonomiska förhållanden: Sverige: institutioner
Qad-c:k.59	Ekonomiska förhållanden: Sverige: historia: 1990-
Qad-c:k.6	Ekonomiska förhållanden: Sverige: historia: 2000-
Qad-c:oe(u)	Ekonomiska förhållanden: Sverige: lagstiftning: urkunder, lagar
Qad-c:oi(p)	Ekonomiska förhållanden: Sverige: statistik: periodika
Qad-c:oi(p)	Ekonomiska förhållanden: Sverige: statistik: periodika
Qad-c:oi	Ekonomiska förhållanden: Sverige: statistik
Qad-cz	Ekonomiska förhållanden: Sverige: särskilda orter
Qad-caal	Ekonomiska förhållanden: Stockholms län
Qad-cbab(p)	Ekonomiska förhållanden: Kristianstads län: periodika
Qad-cbb	Ekonomiska förhållanden: Halland
Qad-cbda	Ekonomiska förhållanden: Kronobergs län
Qad-cbdb	Ekonomiska förhållanden: Jönköpings län
Qad-cbg	Ekonomiska förhållanden: Östergötland
Qad-cbl	Ekonomiska förhållanden: Dalsland
Qad-cc	Ekonomiska förhållanden: Norrland
Qad-ccg	Ekonomiska förhållanden: Västerbotten
Qad-cch	Ekonomiska förhållanden: Norrbotten
Qad-da(k)	Ekonomiska förhållanden: Danmark: kongresstryck
Qad-da(p)	Ekonomiska förhållanden: Danmark: periodika
Qad-da	Ekonomiska förhållanden: Danmark
Qad-da:b	Ekonomiska förhållanden: Danmark: forskning
Qad-da:k.46	Ekonomiska förhållanden: Danmark: historia: 1815-1914
Qad-da:k.5	Ekonomiska förhållanden: Danmark: historia: 1914-
Qad-da:k.6	Ekonomiska förhållanden: Danmark: historia: 2000-
Qad-da:oi(p)	Ekonomiska förhållanden: Danmark: statistik: periodika
Qad-da:oi	Ekonomiska förhållanden: Danmark: statistik
Qad-db(k)	Ekonomiska förhållanden: Norge: kongresstryck
Qad-db(p)	Ekonomiska förhållanden: Norge: periodika
Qad-db	Ekonomiska förhållanden: Norge
Qad-db:k.55	Ekonomiska förhållanden: Norge: historia: 1945-
Qad-db:k.6	Ekonomiska förhållanden: Norge: historia: 2000-
Qad-db:oi(p)	Ekonomiska förhållanden: Norge: statistik: periodika
Qad-dc(p)	Ekonomiska förhållanden: Island: periodika
Qad-dc	Ekonomiska förhållanden: Island
Qad-dcf	Ekonomiska förhållanden: Färöarna
Qad-dd(p)	Ekonomiska förhållanden: Finland: periodika
Qad-dd	Ekonomiska förhållanden: Finland
Qad-dd:k.5	Ekonomiska förhållanden: Finland: historia: 1914-
Qad-dd:k.6	Ekonomiska förhållanden: Finland: historia: 2000-
Qad-dd:oi(p)	Ekonomiska förhållanden: Finland: statistik: periodika
Qad-dd:oi	Ekonomiska förhållanden: Finland: statistik
Qad-ddå	Ekonomiska förhållanden: Åland
Qad-e(k)	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): kongresstryck
Qad-e(p)	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): periodika
Qad-e(x)	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): lexikon
Qad-e(ya)	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): kartor
Qad-e	Ekonomiska förhållanden: Brittiska öarna (Storbritannien)
Qad-e:oi	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): statistik
Qad-ez	Ekonomiska förhållanden: Brittiska öarna (Storbritannien): särskilda orter
Qad-ea	Ekonomiska förhållanden: England
Qad-ea:oi	Ekonomiska förhållanden: England: statistik
Qad-er	Ekonomiska förhållanden: Wales
Qad-es	Ekonomiska förhållanden: Skottland
Qad-et(p)	Ekonomiska förhållanden: Irland: periodika
Qad-et	Ekonomiska förhållanden: Irland
Qad-eta	Ekonomiska förhållanden: Irland (republiken)
Qad-etb	Ekonomiska förhållanden: Nordirland
Qad-f	Ekonomiska förhållanden: Mellaneuropa
Qad-fa(p)	Ekonomiska förhållanden: Tyskland: periodika
Qad-fa	Ekonomiska förhållanden: Tyskland
Qad-fa	Ekonomiska förhållanden: Tyskland
Qad-fa:b	Ekonomiska förhållanden: Tyskland: forskning
Qad-fa:bf	Ekonomiska förhållanden: Tyskland: institutioner
Qad-fa.53	Ekonomiska förhållanden: Tyskland: 1933-45
Qad-fa.6	Ekonomiska förhållanden: Tyskland: 2000-
Qad-faz	Ekonomiska förhållanden: Tyskland: särskilda orter
Qad-fag(p)	Ekonomiska förhållanden: Västtyskland: periodika
Qad-fag(p)	Ekonomiska förhållanden: Västtyskland: periodika
Qad-fag	Ekonomiska förhållanden: Västtyskland
Qad-fag	Ekonomiska förhållanden: Västtyskland
Qad-fag:oi	Ekonomiska förhållanden: Västtyskland: statistik
Qad-fah	Ekonomiska förhållanden: Östtyskland
Qad-fb(p)	Ekonomiska förhållanden: Österrike: periodika
Qad-fb	Ekonomiska förhållanden: Österrike
Qad-fbi	Ekonomiska förhållanden: Liechtenstein
Qad-fc(p)	Ekonomiska förhållanden: Ungern: periodika
Qad-fc	Ekonomiska förhållanden: Ungern
Qad-fd(p)	Ekonomiska förhållanden: Tjeckien och Slovakien: periodika
Qad-fd	Ekonomiska förhållanden: Tjeckien och Slovakien
Qad-fda(p)	Ekonomiska förhållanden: Tjeckien: periodika
Qad-fda	Ekonomiska förhållanden: Tjeckien
Qad-fdb(p)	Ekonomiska förhållanden: Slovakien: periodika
Qad-fdb	Ekonomiska förhållanden: Slovakien
Qad-fj	Ekonomiska förhållanden: Mellaneuropa
Qad-g	Ekonomiska förhållanden: Nederländerna, Belgien och Luxemburg
Qad-ga(p)	Ekonomiska förhållanden: Nederländerna: periodika
Qad-ga	Ekonomiska förhållanden: Nederländerna
Qad-gb(p)	Ekonomiska förhållanden: Belgien: periodika
Qad-gb(p)	Ekonomiska förhållanden: Belgien: periodika
Qad-gb(ya)	Ekonomiska förhållanden: Belgien: kartor
Qad-gb	Ekonomiska förhållanden: Belgien
Qad-gc(p)	Ekonomiska förhållanden: Luxemburg: periodika
Qad-gc	Ekonomiska förhållanden: Luxemburg
Qad-h(p)	Ekonomiska förhållanden: Schweiz: periodika
Qad-h	Ekonomiska förhållanden: Schweiz
Qad-i(k)	Ekonomiska förhållanden: Italien: kongresstryck
Qad-i(p)	Ekonomiska förhållanden: Italien: periodika
Qad-i(x)	Ekonomiska förhållanden: Italien: lexikon
Qad-i	Ekonomiska förhållanden: Italien
Qad-ig	Ekonomiska förhållanden: Vatikanstaten
Qad-iv	Ekonomiska förhållanden: Malta
Qad-j(p)	Ekonomiska förhållanden: Frankrike: periodika
Qad-j	Ekonomiska förhållanden: Frankrike
Qad-k(p)	Ekonomiska förhållanden: Spanien: periodika
Qad-k(x)	Ekonomiska förhållanden: Spanien: lexikon
Qad-k	Ekonomiska förhållanden: Spanien
Qad-kz	Ekonomiska förhållanden: Spanien: särskilda orter
Qad-l(p)	Ekonomiska förhållanden: Portugal: periodika
Qad-l	Ekonomiska förhållanden: Portugal
Qad-m(k)	Ekonomiska förhållanden: Östeuropa: kongresstryck
Qad-m(p)	Ekonomiska förhållanden: Östeuropa: periodika
Qad-m(x)	Ekonomiska förhållanden: Östeuropa: lexikon
Qad-m	Ekonomiska förhållanden: Östeuropa
Qad-m:oi(p)	Ekonomiska förhållanden: Östeuropa: statistik: periodika
Qad-m:oi	Ekonomiska förhållanden: Östeuropa: statistik
Qad-ma(k)	Ekonomiska förhållanden: Ryssland: kongresstryck
Qad-ma(p)	Ekonomiska förhållanden: Ryssland: periodika
Qad-ma(x)	Ekonomiska förhållanden: Ryssland: lexikon
Qad-ma	Ekonomiska förhållanden: Ryssland
Qad-ma	Ekonomiska förhållanden: Ryssland
Qad-ma:k	Ekonomiska förhållanden: Ryssland: historia
Qad-ma:k.5	Ekonomiska förhållanden: Ryssland: historia: 1914-
Qad-ma:k.6	Ekonomiska förhållanden: Ryssland: historia: 2000-
Qad-ma:oi(p)	Ekonomiska förhållanden: Ryssland: statistik: periodika
Qad-ma:oi	Ekonomiska förhållanden: Ryssland: statistik
Qad-mad	Ekonomiska förhållanden: Ukraina
Qad-mae	Ekonomiska förhållanden: Vitryssland
Qad-mb(p)	Ekonomiska förhållanden: Polen: periodika
Qad-mb	Ekonomiska förhållanden: Polen
Qad-mc(k)	Ekonomiska förhållanden: Estland, Lettland, Litauen: kongresstryck
Qad-mc(p)	Ekonomiska förhållanden: Estland, Lettland, Litauen: periodika
Qad-mc	Ekonomiska förhållanden: Estland, Lettland, Litauen
Qad-mca	Ekonomiska förhållanden: Estland
Qad-mcb(p)	Ekonomiska förhållanden: Lettland: periodika
Qad-mcb	Ekonomiska förhållanden: Lettland
Qad-mcc	Ekonomiska förhållanden: Litauen
Qad-n(k)	Ekonomiska förhållanden: Balkanländerna: kongresstryck
Qad-n	Ekonomiska förhållanden: Balkanländerna
Qad-na	Ekonomiska förhållanden: Rumänien
Qad-nb(p)	Ekonomiska förhållanden: Jugoslavien: periodika
Qad-nb	Ekonomiska förhållanden: Jugoslavien
Qad-nbb	Ekonomiska förhållanden: Kroatien
Qad-nbc(p)	Ekonomiska förhållanden: Slovenien: periodika
Qad-nbc	Ekonomiska förhållanden: Slovenien
Qad-nbd	Ekonomiska förhållanden: Bosnien-Hercegovina
Qad-nc(k)	Ekonomiska förhållanden: Bulgarien: kongresstryck
Qad-nc(p)	Ekonomiska förhållanden: Bulgarien: periodika
Qad-nc	Ekonomiska förhållanden: Bulgarien
Qad-nd(p)	Ekonomiska förhållanden: Grekland: periodika
Qad-nd	Ekonomiska förhållanden: Grekland
Qad-nf	Ekonomiska förhållanden: Albanien
Qad-nm	Ekonomiska förhållanden: Balkanländerna
Qad-noc	Ekonomiska förhållanden: Balkanländerna
Qad-o(k)	Ekonomiska förhållanden: Asien: kongresstryck
Qad-o(p)	Ekonomiska förhållanden: Asien: periodika
Qad-o	Ekonomiska förhållanden: Asien
Qad-o	Ekonomiska förhållanden: Asien
Qad-oa(k)	Ekonomiska förhållanden: Främre Asien: kongresstryck
Qad-oa(p)	Ekonomiska förhållanden: Främre Asien: periodika
Qad-oa	Ekonomiska förhållanden: Främre Asien
Qad-oa:oi	Ekonomiska förhållanden: Främre Asien: statistik
Qad-oaa(p)	Ekonomiska förhållanden: Turkiet: periodika
Qad-oaa	Ekonomiska förhållanden: Turkiet
Qad-oab	Ekonomiska förhållanden: Cypern
Qad-oac	Ekonomiska förhållanden: Kaukasien
Qad-oaca	Ekonomiska förhållanden: Azerbajdzjan
Qad-oacb	Ekonomiska förhållanden: Armenien
Qad-oacc	Ekonomiska förhållanden: Georgien
Qad-oae	Ekonomiska förhållanden: Syrien och Libanon
Qad-oaea	Ekonomiska förhållanden: Syrien
Qad-oaf	Ekonomiska förhållanden: Palestina
Qad-oaf:oi	Ekonomiska förhållanden: Palestina: statistik
Qad-oaf:pu	Ekonomiska förhållanden: Palestina: databehandling
Qad-oafi	Ekonomiska förhållanden: Israel
Qad-oag	Ekonomiska förhållanden: Jordanien
Qad-oah	Ekonomiska förhållanden: Arabiska halvön
Qad-oaha	Ekonomiska förhållanden: Saudi-Arabien
Qad-oahb	Ekonomiska förhållanden: Nordjemen
Qad-oahd	Ekonomiska förhållanden: Oman
Qad-oahe	Ekonomiska förhållanden: Förenade Arabemiraten, Qatar, Bahrain
Qad-oahea	Ekonomiska förhållanden: Förenade Arabemiraten
Qad-oahed	Ekonomiska förhållanden: Qatar
Qad-oaheg	Ekonomiska förhållanden: Bahrain
Qad-oahf	Ekonomiska förhållanden: Kuwait
Qad-oai	Ekonomiska förhållanden: Irak
Qad-oak	Ekonomiska förhållanden: Iran (Persien)
Qad-oam	Ekonomiska förhållanden: Kazakstan etc (f d Sovjetiska Centralasien)
Qad-oama	Ekonomiska förhållanden: Kazakstan
Qad-ob(p)	Ekonomiska förhållanden: Främre Indien: periodika
Qad-ob	Ekonomiska förhållanden: Främre Indien
Qad-oba(p)	Ekonomiska förhållanden: Indien: periodika
Qad-oba	Ekonomiska förhållanden: Indien
Qad-oba:a	Ekonomiska förhållanden: Indien: bibliografi
Qad-obaz	Ekonomiska förhållanden: Indien: särskilda orter
Qad-obb	Ekonomiska förhållanden: Pakistan och Bangladesh
Qad-obba	Ekonomiska förhållanden: Pakistan
Qad-obbb	Ekonomiska förhållanden: Bangladesh
Qad-obd	Ekonomiska förhållanden: Nepal
Qad-obe	Ekonomiska förhållanden: Sri Lanka
Qad-obe	Ekonomiska förhållanden: Sri Lanka
Qad-oc(k)	Ekonomiska förhållanden: Bortre Indien: kongresstryck
Qad-oc(p)	Ekonomiska förhållanden: Bortre Indien: periodika
Qad-oc	Ekonomiska förhållanden: Bortre Indien
Qad-oc:oi	Ekonomiska förhållanden: Bortre Indien: statistik
Qad-oca	Ekonomiska förhållanden: Myanmar
Qad-ocb	Ekonomiska förhållanden: Thailand
Qad-ocb:t	Ekonomiska förhållanden: Thailand: matematik och statistisk metod
Qad-occ	Ekonomiska förhållanden: Malaysia, Singapore och Brunei
Qad-occa	Ekonomiska förhållanden: Malaysia
Qad-occb(p)	Ekonomiska förhållanden: Singapore: periodika
Qad-occb	Ekonomiska förhållanden: Singapore
Qad-occd	Ekonomiska förhållanden: Brunei
Qad-ocd	Ekonomiska förhållanden: Indokina
Qad-ocda	Ekonomiska förhållanden: Laos
Qad-ocdb	Ekonomiska förhållanden: Kambodja
Qad-ocdc(k)	Ekonomiska förhållanden: Vietnam: kongresstryck
Qad-ocdc	Ekonomiska förhållanden: Vietnam
Qad-ocdc:oi(p)	Ekonomiska förhållanden: Vietnam: statistik: periodika
Qad-ocdc:oi	Ekonomiska förhållanden: Vietnam: statistik
Qad-od(p)	Ekonomiska förhållanden: Ostindiska öarna: periodika
Qad-od	Ekonomiska förhållanden: Ostindiska öarna
Qad-oda	Ekonomiska förhållanden: Indonesien
Qad-oda:oi	Ekonomiska förhållanden: Indonesien: statistik
Qad-odaz	Ekonomiska förhållanden: Indonesien: särskilda orter
Qad-odaa	Ekonomiska förhållanden: Sumatra
Qad-odab	Ekonomiska förhållanden: Java
Qad-odac	Ekonomiska förhållanden: Kalimantan (Borneo)
Qad-odc	Ekonomiska förhållanden: Filippinerna
Qad-oe(k)	Ekonomiska förhållanden: Östasien: kongresstryck
Qad-oe	Ekonomiska förhållanden: Östasien
Qad-oe:oi	Ekonomiska förhållanden: Östasien: statistik
Qad-oea(k)	Ekonomiska förhållanden: Kina: kongresstryck
Qad-oea(p)	Ekonomiska förhållanden: Kina: periodika
Qad-oea(ya)	Ekonomiska förhållanden: Kina: kartor
Qad-oea	Ekonomiska förhållanden: Kina
Qad-oeaz	Ekonomiska förhållanden: Kina: särskilda orter
Qad-oeaf	Ekonomiska förhållanden: Taiwan
Qad-oeaka	Ekonomiska förhållanden: Tibet
Qad-oeb(p)	Ekonomiska förhållanden: Korea: periodika
Qad-oeb	Ekonomiska förhållanden: Korea
Qad-oeba	Ekonomiska förhållanden: Nordkorea
Qad-oebb	Ekonomiska förhållanden: Sydkorea
Qad-oec(k)	Ekonomiska förhållanden: Japan: kongresstryck
Qad-oec(p)	Ekonomiska förhållanden: Japan: periodika
Qad-oec(p)	Ekonomiska förhållanden: Japan: periodika
Qad-oec(x)	Ekonomiska förhållanden: Japan: lexikon
Qad-oec	Ekonomiska förhållanden: Japan
Qad-oec:oi(p)	Ekonomiska förhållanden: Japan: statistik: periodika
Qad-oec:oi	Ekonomiska förhållanden: Japan: statistik
Qad-oek	Ekonomiska förhållanden: Hongkong och Macau
Qad-oeka	Ekonomiska förhållanden: Hongkong
Qad-of	Ekonomiska förhållanden: Centralasien
Qad-of:oi	Ekonomiska förhållanden: Centralasien: statistik
Qad-ofc(p)	Ekonomiska förhållanden: Mongoliet: periodika
Qad-ofc	Ekonomiska förhållanden: Mongoliet
Qad-p(k)	Ekonomiska förhållanden: Afrika: kongresstryck
Qad-p(p)	Ekonomiska förhållanden: Afrika: periodika
Qad-p(x)	Ekonomiska förhållanden: Afrika: lexikon
Qad-p	Ekonomiska förhållanden: Afrika
Qad-p	Ekonomiska förhållanden: Afrika
Qad-p/DR	Ekonomiska förhållanden: Afrika: fjärråtkomst
Qad-p:a	Ekonomiska förhållanden: Afrika: bibliografi
Qad-p:oi	Ekonomiska förhållanden: Afrika: statistik
Qad-pa	Ekonomiska förhållanden: Nordafrika utom Egypten
Qad-paa	Ekonomiska förhållanden: Marocko
Qad-pab(p)	Ekonomiska förhållanden: Algeriet: periodika
Qad-pab	Ekonomiska förhållanden: Algeriet
Qad-pab	Ekonomiska förhållanden: Algeriet
Qad-pac	Ekonomiska förhållanden: Tunisien
Qad-pad	Ekonomiska förhållanden: Libyen
Qad-pb	Ekonomiska förhållanden: Egypten och Sudan
Qad-pba(k)	Ekonomiska förhållanden: Egypten: kongresstryck
Qad-pba	Ekonomiska förhållanden: Egypten
Qad-pbb	Ekonomiska förhållanden: Sudan
Qad-pbb	Ekonomiska förhållanden: Sudan
Qad-pc	Ekonomiska förhållanden: Västafrika
Qad-pcbe	Ekonomiska förhållanden: Kamerun
Qad-pccc	Ekonomiska förhållanden: Senegal
Qad-pcce	Ekonomiska förhållanden: Mali
Qad-pcch	Ekonomiska förhållanden: Niger
Qad-pcci	Ekonomiska förhållanden: Guinea-Bissau
Qad-pccj	Ekonomiska förhållanden: Cap Verde
Qad-pcck	Ekonomiska förhållanden: Guinea
Qad-pccl	Ekonomiska förhållanden: Elfenbenskusten
Qad-pccm	Ekonomiska förhållanden: Sierra Leone
Qad-pccn	Ekonomiska förhållanden: Liberia
Qad-pcd	Ekonomiska förhållanden: Södra Västafrika
Qad-pcda	Ekonomiska förhållanden: Ghana
Qad-pcdd(k)	Ekonomiska förhållanden: Nigeria: kongresstryck
Qad-pcdd	Ekonomiska förhållanden: Nigeria
Qad-pd	Ekonomiska förhållanden: Centralafrika
Qad-pdaa	Ekonomiska förhållanden: Zaire
Qad-pdab	Ekonomiska förhållanden: Rwanda
Qad-pdb	Ekonomiska förhållanden: Angola
Qad-pe(k)	Ekonomiska förhållanden: Södra Afrika: kongresstryck
Qad-pe	Ekonomiska förhållanden: Södra Afrika
Qad-pea	Ekonomiska förhållanden: Sydafrikanska republiken, Namibia, Lesotho, Swaziland
Qad-peaa	Ekonomiska förhållanden: Sydafrikanska republiken
Qad-peaa:a	Ekonomiska förhållanden: Sydafrikanska republiken: bibliografi
Qad-peaaz	Ekonomiska förhållanden: Sydafrikanska republiken: särskilda orter
Qad-peab	Ekonomiska förhållanden: Namibia
Qad-peab:a	Ekonomiska förhållanden: Namibia: bibliografi
Qad-peac	Ekonomiska förhållanden: Lesotho
Qad-pead	Ekonomiska förhållanden: Swaziland
Qad-peb	Ekonomiska förhållanden: Botswana
Qad-pec	Ekonomiska förhållanden: Zimbabwe, Zambia, Malawi
Qad-peca	Ekonomiska förhållanden: Zimbabwe
Qad-pecb	Ekonomiska förhållanden: Zambia
Qad-pecc	Ekonomiska förhållanden: Malawi
Qad-ped	Ekonomiska förhållanden: Moçambique
Qad-pee	Ekonomiska förhållanden: Madagaskar (Malagasy)
Qad-pf	Ekonomiska förhållanden: Östafrika
Qad-pfa	Ekonomiska förhållanden: Uganda
Qad-pfb	Ekonomiska förhållanden: Kenya
Qad-pfc	Ekonomiska förhållanden: Tanzania
Qad-pfe	Ekonomiska förhållanden: Östafrika
Qad-pg	Ekonomiska förhållanden: Nordöstafrika
Qad-pga	Ekonomiska förhållanden: Etiopien med Eritrea
Qad-pgae	Ekonomiska förhållanden: Eritrea
Qad-pgb	Ekonomiska förhållanden: Somalia
Qad-q	Ekonomiska förhållanden: Amerika
Qad-q:oi	Ekonomiska förhållanden: Amerika: statistik
Qad-qa(k)	Ekonomiska förhållanden: Förenta staterna: kongresstryck
Qad-qa(p)	Ekonomiska förhållanden: Förenta staterna: periodika
Qad-qa	Ekonomiska förhållanden: Förenta staterna
Qad-qa:k.5(x)	Ekonomiska förhållanden: Förenta staterna: historia: 1914-: lexikon
Qad-qa:k.6	Ekonomiska förhållanden: Förenta staterna: historia: 2000-
Qad-qa:oi	Ekonomiska förhållanden: Förenta staterna: statistik
Qad-qaz	Ekonomiska förhållanden: Förenta staterna: särskilda orter
Qad-qaz	Ekonomiska förhållanden: Förenta staterna: särskilda orter
Qad-qab	Ekonomiska förhållanden: Sydöstra staterna
Qad-qac	Ekonomiska förhållanden: Södra centralstaterna
Qad-qaf(k)	Ekonomiska förhållanden: Stillahavsstaterna: kongresstryck
Qad-qaf(p)	Ekonomiska förhållanden: Stillahavsstaterna: periodika
Qad-qat	Ekonomiska förhållanden: indianer i Nordamerika
Qad-qb	Ekonomiska förhållanden: Kanada
Qad-qbz	Ekonomiska förhållanden: Kanada: särskilda orter
Qad-qbf	Ekonomiska förhållanden: Québec
Qad-qc(k)	Ekonomiska förhållanden: Mexiko, Centralamerika och Västindien: kongresstryck
Qad-qc(p)	Ekonomiska förhållanden: Mexiko, Centralamerika och Västindien: periodika
Qad-qc	Ekonomiska förhållanden: Mexiko, Centralamerika och Västindien
Qad-qca(p)	Ekonomiska förhållanden: Mexiko: periodika
Qad-qca	Ekonomiska förhållanden: Mexiko
Qad-qca:oi	Ekonomiska förhållanden: Mexiko: statistik
Qad-qcb	Ekonomiska förhållanden: Guatemala
Qad-qcc	Ekonomiska förhållanden: Belize och Honduras
Qad-qcd	Ekonomiska förhållanden: El Salvador
Qad-qce	Ekonomiska förhållanden: Nicaragua
Qad-qcf	Ekonomiska förhållanden: Costa Rica
Qad-qcg	Ekonomiska förhållanden: Panama
Qad-qch	Ekonomiska förhållanden: Västindien
Qad-qcha	Ekonomiska förhållanden: Stora Antillerna
Qad-qchaa	Ekonomiska förhållanden: Kuba
Qad-qchab	Ekonomiska förhållanden: Haiti
Qad-qchac	Ekonomiska förhållanden: Dominikanska republiken
Qad-qchad	Ekonomiska förhållanden: Puerto Rico
Qad-qchae	Ekonomiska förhållanden: Jamaica
Qad-qchb	Ekonomiska förhållanden: Små Antillerna
Qad-qchba	Ekonomiska förhållanden: Trinidad och Tobago
Qad-qchbb	Ekonomiska förhållanden: Barbados
Qad-qchbk	Ekonomiska förhållanden: St Lucia
Qad-qchböz	Ekonomiska förhållanden: Små Antillerna: övriga öar: särskilda orter
Qad-qchc	Ekonomiska förhållanden: Bahamas
Qad-qchd	Ekonomiska förhållanden: Bermuda
Qad-qd(k)	Ekonomiska förhållanden: Sydamerika: kongresstryck
Qad-qd(p)	Ekonomiska förhållanden: Sydamerika: periodika
Qad-qd(x)	Ekonomiska förhållanden: Sydamerika: lexikon
Qad-qd	Ekonomiska förhållanden: Sydamerika
Qad-qd:oi	Ekonomiska förhållanden: Sydamerika: statistik
Qad-qdz	Ekonomiska förhållanden: Sydamerika: särskilda orter
Qad-qda	Ekonomiska förhållanden: Colombia
Qad-qdb	Ekonomiska förhållanden: Venezuela
Qad-qdd	Ekonomiska förhållanden: Brasilien
Qad-qddz	Ekonomiska förhållanden: Brasilien: särskilda orter
Qad-qde	Ekonomiska förhållanden: Paraguay
Qad-qdf	Ekonomiska förhållanden: Uruguay
Qad-qdg	Ekonomiska förhållanden: Argentina
Qad-qdh	Ekonomiska förhållanden: Chile
Qad-qdi	Ekonomiska förhållanden: Bolivia
Qad-qdk	Ekonomiska förhållanden: Peru
Qad-qdl	Ekonomiska förhållanden: Ecuador
Qad-qdq	Ekonomiska förhållanden: Sydamerika
Qad-r(p)	Ekonomiska förhållanden: Oceanien (Australien, Nya Zeeland, Melanesien, Polynesien, Mikronesien): periodika
Qad-r	Ekonomiska förhållanden: Oceanien (Australien, Nya Zeeland, Melanesien, Polynesien, Mikronesien)
Qad-r:oi	Ekonomiska förhållanden: Oceanien (Australien, Nya Zeeland, Melanesien, Polynesien, Mikronesien): statistik
Qad-ra(p)	Ekonomiska förhållanden: Australien: periodika
Qad-ra	Ekonomiska förhållanden: Australien
Qad-rb(p)	Ekonomiska förhållanden: Nya Zeeland: periodika
Qad-rb	Ekonomiska förhållanden: Nya Zeeland
Qad-rc	Ekonomiska förhållanden: Melanesien, Polynesien och Mikronesien
Qad-rca	Ekonomiska förhållanden: Melanesien
Qad-rcb	Ekonomiska förhållanden: Polynesien
Qad-rcbd	Ekonomiska förhållanden: Västra Samoa
Qad-rcc	Ekonomiska förhållanden: Mikronesien
Qad-rcch	Ekonomiska förhållanden: Hawaii
Qad-rd	Ekonomiska förhållanden: Nya Guinea
Qad-rda	Ekonomiska förhållanden: Papua Nya Guinea
Qad-sa	Ekonomiska förhållanden: Arktis (Nordpolsområdet)
Qad-saa(p)	Ekonomiska förhållanden: Grönland: periodika
Qad-saa	Ekonomiska förhållanden: Grönland
Qad-sab	Ekonomiska förhållanden: Spetsbergen (Svalbard)
Qad-ssa	Ekonomiska förhållanden: Polarländerna
Qad-tb(p)	Ekonomiska förhållanden: Stilla havet: periodika
Qad-tb	Ekonomiska förhållanden: Stilla havet
Qada(k)	Privat äganderätt: kongresstryck
Qada(p)	Privat äganderätt: periodika
Qada(p)/DR	Privat äganderätt: periodika: fjärråtkomst
Qada	Privat äganderätt
Qada:k	Privat äganderätt: historia
Qada:k.4	Privat äganderätt: historia: nya tiden
Qada-a	Privat äganderätt: Europa
Qada-ae	Privat äganderätt: Europeiska unionen
Qada-af:k	Privat äganderätt: Europa: historia
Qada-b(k)	Privat äganderätt: Norden: kongresstryck
Qada-b	Privat äganderätt: Norden
Qada-c(k)	Privat äganderätt: Sverige: kongresstryck
Qada-c	Privat äganderätt: Sverige
Qada-cba	Privat äganderätt: Skåne
Qada-da	Privat äganderätt: Danmark
Qada-db	Privat äganderätt: Norge
Qada-dd	Privat äganderätt: Finland
Qada-e	Privat äganderätt: Brittiska öarna (Storbritannien)
Qada-f	Privat äganderätt: Mellaneuropa
Qada-fah	Privat äganderätt: Östtyskland
Qada-fc	Privat äganderätt: Ungern
Qada-fd(k)	Privat äganderätt: Tjeckien och Slovakien: kongresstryck
Qada-fd	Privat äganderätt: Tjeckien och Slovakien
Qada-fdb	Privat äganderätt: Slovakien
Qada-i	Privat äganderätt: Italien
Qada-j	Privat äganderätt: Frankrike
