libris_id,mods_identifier_type,mods_identifier_value
bv9k95f68x16l458,GRID,A10302B0005342454J
m5lsjtx9khvfdlcs,GRID,A10302B00033080003
zhx5xclnw1flq23h,GRID,A10302B0000016599T
1k07xld5zjv4m97l,GRID,A10302B0005366002Z
h1gqglghf92bjjrw,GRID,A10302B0004979351T
h1gpjf0hf8z41xvh,GRID,A10302B0000756589F
p7nxm2wnm07xz7bt,GRID,A10306F0000001MLJA
xgw3t72hvqc1npjn,GRID,A10302B00036389578
zhx6xs3jwtgg8db1,GRID,A10302B00056219899
k3jqgr1jh1v2hwmb,GRID,A10302B00043694628
1k07xldrzxkjtvzl,GRID,A10302B00049029739
9t8j8d987r8d8w5g,GRID,A10302B0009308237H
bv9k8pj58717rlmz,GRID,A10302B0005855649K
k3jrg6z1hzc0z7z3,GRID,A10302B0005446185S
l4ktkfrrjh08cnfj,GRID,A10302B0006463931P
p7nvlw5gmx4k0wbz,GRID,A10302B0004884574Z
1k070fvxzgnmwpbn,GRID,A10302B0003392043B
5p4c2qkn3m2dl5nr,GRID,A10302B00053546252
n6mwmrn8lcn6bnnb,GRID,A10302B0008885975X
q8pxnr3ln3836zvz,GRID,A10302B0002280823L
9t8j7njw75zjj1dg,GRID,A10306F0000000Y67E
vdt2v1rdsf2lx60w,GRID,A10302B0001462578A
1k07xng2zbrhsblr,GRID,A10306F0000002IMJQ
l4ktkfrcjrqztgk4,GRID,A10302B0007355606W
wfv2s3ddtcc4vqgj,GRID,A10302B0004140967E
6q5d5l2s46t99f9p,GRID,A10302B0000016598V
q8pxm952nqq2hlg6,GRID,A10302B00049073107
dxcmchfqbjnbp87j,GRID,A10302B00058359244
j2hqkg5bgkmj670f,GRID,A10302B0004427178D
tcs2r637rcbb3wdk,GRID,A10302B0008988774A
vdt2rh9mscxh7mj4,GRID,A10302B0008279676Q
1k080v7sz99dfnpt,GRID,A10302B00057592677
m5lsjt5pkbsgqtjz,GRID,A10302B0003316584Q
2l181gz807rgzl9p,GRID,A10302B00018567875
cwbk8xt99zpkvwq8,GRID,A10302B0005105945K
7r6g6b9853mhfmhc,GRID,A10302B0008013253B
q8pxnr6jnbj0nc82,GRID,A10302B0000950421W
4n3b52sm2cwjw4rv,GRID,A10302B0002280635R
2l190fc50jw5cx32,GRID,A10302B0008508763A
3m280dgw1mpg7v6j,GRID,A10302B00043839997
5p4c2sn632h1g61r,GRID,A10306F0000000V9DE
k3jsjds1h0d19jrq,GRID,A10302B00052918998
n6mtkv6kl1pcj882,GRID,A10302B00007565632
k3jrg413hvw0bdg0,GRID,A10302B0005354538Z
0jz7z32mx1095cl8,GRID,A10302B0005651398V
2l190fct0xptxl70,GRID,A10302B0009120761L
8s7g66b86m74wh3c,GRID,A10302B0003845332S
k3jshvp1hgr28h8n,GRID,A10302B0008384596A
r9q0ql1zpkmmgc7q,GRID,A10302B0005689154Y
tcs0q1dfrbqbgdjh,GRID,A10302B00035752769
8s7g5trf6b609r1f,GRID,A10302B00053625516
5p4d488g34d0gpg2,GRID,A10302B0008853106T
0jz7xcbmxdf82pmh,GRID,A10306F00000012T3Q
cwbk99gz9bf0d2fp,GRID,A10302B0003479704Y
7r6f7f9c5lg68hhl,GRID,A10302B0001883638K
g0fpdrnsd72vtvhm,GRID,A10302B0008216090U
7r6g62h25dsg6vhz,GRID,A10302B0007769793V
wfv2s3hntkmqzbll,GRID,A10302B00044569925
g0fnfwfcdztsnpjq,GRID,A10302B0002264488J
1k07xljtzzd9rlvf,GRID,A10302B00054106189
3m2b267c1lwmdptf,GRID,A10302B0005727577R
0jz6x1mhxwr0fk2j,GRID,A10302B0000016302N
vdt3s775s57l9cx7,GRID,A10306F0000000QYJC
wfv3tt15tfbms71d,GRID,A10302B0003429095X
l4kslspjj0p5vghg,GRID,A10302B0004426429P
zhx6w87wwc0x7t9q,GRID,A10302B00090033944
tcs2sn48rjqgq6zd,GRID,A10302B0005221629H
tcs0q1hrr1z89qlf,GRID,A10302B0004857849Q
q8pxm984nd2406zt,GRID,A10302B00051069382
j2hrhmpmg37gfl7z,GRID,A10302B00056691796
8s7g961r6m0m89p7,GRID,A10302B0002237991G
h1gqfvwnfcb4d459,GRID,A10302B00055946327
8s7h6kk66b7qs4rf,GRID,A10306F00000007FF1
vdt3tp6ssj5lttk4,GRID,A10302B00073420272
p7nwl88pmpkbm68h,GRID,A10302B0004906082F
n6mwmrthllj4f14m,GRID,A10302B0008851942S
k3jshx0nhpn89dmm,GRID,A10306F0000000Y6JP
g0fngnl5d2mdkv6m,GRID,A10302B0000372194C
cwbl9npw9flgsrfd,GRID,A10302B0008623176Z
g0fpgz7gdj0rwd04,GRID,A10302B0005867424R
h1gndp7tfdqbgzmx,GRID,A10302B00036469101
6q5d5mb84qxhlp3n,GRID,A10302B0000529357L
h1gpd223fkldrlxb,GRID,A10302B00050510941
xgw5w14kv8mw8qgc,GRID,A10302B0008299522R
m5lvk02dk2k2s96g,GRID,A10306F00000001FUD
vdt2ss3cswpq6l9k,GRID,A10302B0003859154Q
fzdncqs9c11db8jr,GRID,A10306F0000000NZIY
bv9kbt33888bdxc5,GRID,A10302B0005567579N
4n391bw32v6186f4,GRID,A10302B0001656180A
j2hqf34tgl959rgt,GRID,A10302B0005143081P
1k08048hz3l29b47,GRID,A10302B0006441893X
j2hrgw0zgr8qvc9w,GRID,A10306F00000012T0W
6q5d44j44h3j1rp4,GRID,A10302B00034314378
fzdncqvvc03s7j8d,GRID,A10302B00089384032
0jz70hsfxwmzj0pr,GRID,A10302B0005852919F
0jz5w6rpxh49n9fg,GRID,A10302B0003450980L
tcs1s80zrjmxf9t1,GRID,A10302B0000660542P
p7nwl8bnmqg92xjh,GRID,A10302B00053687347
tcs2sx34rbncqv6k,GRID,A10302B00056897795
j2hqkgf6gxf1ctbn,GRID,A10302B0003377891Q
g0fpdtzmdnpnfvqf,GRID,A10306F00000033LR9
3m2939c31vzh5npv,GRID,A10302B0000343903T
2l192kw80dbrxd1k,GRID,A10302B0005284218Z
3m2809wj1kb1jgb7,GRID,A10302B0003859852B
p7nwl8b7mxwlqbdj,GRID,A10302B0005365996B
n6mwmrztl4cq765m,GRID,A10302B0007965199Q
l4ksmkjmj356171f,GRID,A10302B00044089489
6q5f4kq74qddtrxl,GRID,A10302B0008094349L
sbr0qq77qvgmwtzm,GRID,A10302B0003109324C
zhx6zgspwzbt546m,GRID,A10302B0005775057T
3m2809x91mtxtpd1,GRID,A10302B0003794481C
3m290nr71jw2rpw8,GRID,A10302B0005051130P
5p4c5ch33hp4gs66,GRID,A10302B0000522213V
1k0804bwz7c5w0t4,GRID,A10302B0005672752N
0jz6xn8qxtl46s4t,GRID,A10302B0004433240W
m5lvk05bkjxnx919,GRID,A10302B0005706367Q
h1gqfs2qf2nts063,GRID,A10302B0008582954Q
6q5f6p2p43s8469r,GRID,A10302B00056792124
r9qxnzmrpt8gtkct,GRID,A10302B0003575280H
sbr0r73vqjmpdr0m,GRID,A10302B0001855708E
9t8h6vz47qlprlfs,GRID,A10302B0005151673E
tcs2sx5brp2ks0mx,GRID,A10302B0009030823C
7r6g5lsh5vg0m95b,GRID,A10302B0008240628T
p7nwmm8rmm6dz26n,GRID,A10302B00038777792
3m2809031hxqj19h,GRID,A10302B0003777712U
tcs1qdj8rc44xkww,GRID,A10302B0005106939Z
2l1915fh072xsk3q,GRID,A10302B0005867431T
sbr0qg5hqw4h86xt,GRID,A10302B00045022899
zhx50x0ww4qscjr8,GRID,A10302B00002847497
vdt3s7fmsv39swlp,GRID,A10302B0007661113P
bv9j88xt8832x7dt,GRID,A10302B00038210339
7r6g5jt152wj2drk,GRID,A10302B0008299523P
n6mtkvkjlqsz97xx,GRID,A10302B0003479632Y
cwbk8x3h9v55wqx8,GRID,A10302B0005339433J
h1gqglwpfsjbw3gj,GRID,A10302B0008703842U
p7nwmc4nmqlb698n,GRID,A10302B00036097740
5p4d3jrk31n6zg35,GRID,A10302B00053435087
j2hqgg54gqf1fv61,GRID,A10302B00038112102
sbr0s065qnbkvgc5,GRID,A10302B0000724331E
8s7h6kwv6gxrppj2,GRID,A10302B0008762703Z
g0fmcpdbdjpfg77w,GRID,A10302B0003845333Q
7r6f4szz5cj6whsk,GRID,A10302B0004960846B
g0fpfkwhdtfmkqdh,GRID,A10302B0005361061L
h1gpjgklf53s1gb9,GRID,A10302B0000284557P
6q5f4l2r43xgdshq,GRID,A10302B00081532714
2l1800qd0s8j7lrg,GRID,A10302B0003429103U
dxcldltfb7xm51d9,GRID,A10302B0002280571T
0jz7x9n7xzqsl8qr,GRID,A10306F0000000NZJW
p7nwl8g2ml05lrzn,GRID,A10302B0005274402W
1k0804gtz6c59wcm,GRID,A10302B0005802613U
vdt2sjcns7tw3168,GRID,A10302B0000252460L
wfv3xvzltrnjqp01,GRID,A10302B0000660525T
5p4d46j8389l5cnv,GRID,A10302B0005819213T
tcs1rrj0rv3hpf7h,GRID,A10302B00034291628
6q5f4hw544jj88lc,GRID,A10302B00089076462
zhx4v622wgmqzvz7,GRID,A10302B0001875457U
sbr0pclsq122bsvd,GRID,A10302B0005421457R
fzdnd611c4mg05k8,GRID,A10302B0009073690N
5p4d46mg34c88ts5,GRID,A10302B0007714536P
4n3b22v326r7kndl,GRID,A10302B00005390927
8s7h6kzw6d0p745j,GRID,A10302B0005729153G
fzdlbnj5cdjmvz51,GRID,A10302B0004419908A
tcs1qdmgr9mzccc8,GRID,A10302B00053393132
2l191tq60v4q0g12,GRID,A10302B0006614392Q
dxclfch2brgn30qw,GRID,A10302B0000990376Y
j2hrhk12gkd4cms8,GRID,A10302B00082676195
l4ksjjb8jwzgh13p,GRID,A10302B0003429131M
n6mwlzdwlg4hmjt7,GRID,A10302B0008891426E
8s7f5hdq6qdqb0w0,GRID,A10302B0003358584M
sbr0pcm3q4vfclvv,GRID,A10302B0005382465C
q8pzphfsnmp5v0cc,GRID,A10302B00058832326
q8pxrpv1ns37fgs5,GRID,A10302B0002582337B
j2hrgt8cgx2n7wx0,GRID,A10306F0000000YDZZ
9t8g6jh879dc01f6,GRID,A10302B0004534515P
p7nwn4crmcztb01g,GRID,A10302B0002491350W
j2hqf3dggc3qrf5b,GRID,A10302B0005065962U
zhx6xqp8wqjvrz9g,GRID,A10302B0008276448W
sbr0qghpq442csqm,GRID,A10302B0002280746F
tcs2svf1rjw93w8m,GRID,A10302B0007707089N
sbr0qqn3qkzd3zwd,GRID,A10302B00038121900
4n3b4bph2j7w41pn,GRID,A10302B0000016622S
g0fpdr7sddf7qpp0,GRID,A10306F0000000XTBR
5p4b2dck3htz7pf5,GRID,A10302B0001317392H
zhx5vjtlwb5bshjp,GRID,A10302B0004941983V
bv9k934f8gdgwd0w,GRID,A10302B0008580927P
m5lvln8fk4wqq56q,GRID,A10302B0005487326U
bv9j898587xskf0k,GRID,A10302B0003429132K
zhx6w8qvwm6bz4w1,GRID,A10302B00081622983
j2hpfrrrgbd93nns,GRID,A10302B00036193483
p7nwn4d1m7m48t75,GRID,A10302B0001887123A
wfv3sgs5twg8l0sj,GRID,A10302B0005376925U
3m2b2vww119vwxx1,GRID,A10302B0007707088P
bv9k9c0z80mllkkt,GRID,A10302B0007796682K
r9q0p2k8pwqdplw7,GRID,A10306F0000000XFY2
wfv2s45vtl94gqnw,GRID,A10302B0000660541R
cwbkbs3m9fs8334x,GRID,A10302B0000797106J
xgw4tjvvvgmr6xhl,GRID,A10302B0005143244J
0jz7zrtcxctl39m6,GRID,A10302B0007357894Q
n6mwmpczlq0nqg9f,GRID,A10302B0007667015S
h1gpfghpfl3194f3,GRID,A10302B00037155075
h1gphp5ffxw7zk9c,GRID,A10302B0000065830G
l4ktjwfmjvmtlp1l,GRID,A10306F00000011GM9
p7nvlxzfm5cp7l3m,GRID,A10302B0003228592Q
m5ltj7k7k98wpxz0,GRID,A10302B00054333087
9t8j82587fnxqwf2,GRID,A10302B0006734272T
fzdndg5dccn7ghpf,GRID,A10302B0005866435Z
2l1801340xcdnwnw,GRID,A10302B0000841937P
n6mvnvbhls70llpt,GRID,A10302B00003756466
n6mwlzhflk69f5b4,GRID,A10302B0008237913F
fzdlbnqwcn3rqw9t,GRID,A10302B00047558585
fzdmdv6wch002hkk,GRID,A10302B0000756574V
p7nwl9nzmbb4czjc,GRID,A10302B0005433295M
bv9k936x8wh89rvs,GRID,A10302B0008682312U
n6mvlmqqlh9npvfb,GRID,A10302B00039657944
j2hqjq72g169620t,GRID,A10302B00036193491
h1gqfscvf3ttlhz9,GRID,A10302B0008833052D
9t8g6jmh7v9qnt3c,GRID,A10302B0002992197B
wfv3vbp2tprzv7r7,GRID,A10302B0000534750M
1k07xm15zm13tp30,GRID,A10302B00054434068
zhx6xqv6wqvl2d83,GRID,A10302B0007733553E
k3jsjlbmh2lp58bq,GRID,A10302B00067950674
zhx5wx1vw9bw3jq5,GRID,A10302B0003646994X
p7nxm0klm7vd40n2,GRID,A10302B00088861880
sbrzp15qq1k474x6,GRID,A10302B0004830759J
cwbkbs6g9r68jd8t,GRID,A10302B0003267806Z
fzdmb1gdc5p8sz9j,GRID,A10306F00000012BIT
3m2b2v0z1td6jvhh,GRID,A10306F0000000NZKU
9t8h709q7h2t5f4h,GRID,A10302B00003375643
q8pzprhcnhr6dvcw,GRID,A10302B00077630818
g0fndfk0dnpgxc89,GRID,A10302B0002280565P
6q5d6d084mw55rwj,GRID,A10302B0000292484P
dxcmbp9zbltpqkff,GRID,A10306F0000002RD2K
dxcl90f0bqc33ds0,GRID,A10306F00000011PDU
vdt3tns9ssjpp1bh,GRID,A10302B00056192091
tcs1rjv0r77z2gqp,GRID,A10302B0002280816J
xgw5wzq5vzd6nkn9,GRID,A10302B00091080807
2l18016d0bqjtk8h,GRID,A10302B0003811350F
vdt2v2pts2p3367k,GRID,A10302B0000351636X
1k08zcz7z1dqcrlg,GRID,A10302B00057038900
9t8g6js070glcdpp,GRID,A10302B0004696089G
h1gpgxddf3bk5hqs,GRID,A10302B00034729731
p7nwl9rxmggv9wb4,GRID,A10302B00051043468
tcs2smszrs97wh9v,GRID,A10302B0007330962L
tcs2svmmrks5r8pd,GRID,A10302B0006167916B
k3jrhjqshm2r1qvb,GRID,A10302B00003288339
cwbl9p949w0rwvtg,GRID,A10302B0008416230L
k3jqgs31h2z392m1,GRID,A10302B0003869889P
9t8h8r737dp764lc,GRID,A10302B0000284558N
bv9j7xf8848zlz5n,GRID,A10302B0005194497J
5p4d4z4z3jd9z1td,GRID,A10302B0005852504S
p7nwqbtfmtfk58l3,GRID,A10302B0004433245M
