hubTitle	entity
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · Normaluppl. · 1911 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1522 · Grekiska & Latin.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1868 · swe
Bibeln. Evangelierna. Urval	Bible. · [N.T., Gospels.] · Selections. · 1682. · eng
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · gez
Strengleikar	Strengleikar. · 1850
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Evenkiska]
Almanackor	Almanack 1699 Spole
Gilgamesh	Gilgamesj-eposet. · chi
Avesta. Khordah Avesta	Avesta. · [Khordah Avesta.] · eng
Apokryferna (Nya testamentet)	Apokryferna (Nya testamentet). · Polyglott
Västgötalagen	Västgötalagen. · lat
Tusen och en natt. Urval	Tusen och en natt · Urval] · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1778 · Grekiska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Idoma
Almanackor	Almanack 1855 KVA Sthlm
Evangelier och epistlar	Evangelier och epistlar 1820 Strängnäs.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1906 · mus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Mukuni
Almanackor	Almanack 1703 Elvius.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Living Bible. · 1989 · nor
Puranas. Viṣṇupurāṇa	Viṣṇu Purāṇa
Bibeln	Bibeln. · Luther. · [1749?] · dan
Chanson de Roland	Chason de Roland.
Hrafnkels saga Freysgoða	Hrafnkels saga Freysgoða. · Danska & Fornisländska
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Myddleton. · 1603. · wel
Egils saga Skallagrímssonar	Egils saga Skallagrímssonar. · nno
Laxdæla saga	Laxdæla saga. · eng
Fóstbræðra saga	Fóstbræðra saga. · 1852
Den svenska psalmboken	Psalmboken 1759 Jönköping.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · swe
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · mul
Almanackor	Almanack 1782 KVA Sthlm.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1587 · heb
Gesta Romanorum	Gesta Romanorum · swe
Bibeln. Höga visan	Bibeln. · [Höga Visan.] · 1877 · ger
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 2014 · heb
Sir Gawain and the Green Knight	Sir Gawain and the Green Knight. Medelengelska
Evangelier och epistlar	Evangelier och epistlar 1754 Stockholm
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1729 Schneider. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1584 · Polyglott.
Den svenska psalmboken	Psalmboken 1826 Sthlm Marquard.
Avesta. Yasna. Urval	Avesta. · [Yasna 1.]
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Beauvais.] · fre
Kalevala	Kalevala. · ice
Evangelier och epistlar	Evangelier och epistlar 1777 Sthlm ordenstr.
Færeyinga saga	Færeyinga saga. · fao · dan · non
Bibeln. Johannesbreven	Bible. · [N.T., Epistles of John., Tyndale.] · eng
Bibeln	Bibeln. · 1641 · dut
Imitatio Christi	Imitatio Christi. · fre
Almanackor	Almanack 1746 Wahlström.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1826 Rumstedt. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1602 · lat
Bibeln	Bibeln. · Bishops'. · 1584. · eng
Bibeln	Bibeln. · 1568. · lat
Avesta. Khordah Avesta	Avesta. · [Khordah Avesta.]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1672 · fre
Den svenska psalmboken	Psalmboken 1801 Nyköping.
Edda Sæmundar. Urval	Edda Sæmundar. · Urval · swe
Bibeln	Bibeln. · New English. · 1970 · eng
Haggadah	Haggada · eng · heb
Bibeln	Bibeln. · 1703. · 1811 Lindh. · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1650. · eng
Bibeln	Bibeln. · 1945 · mah
Tanna de-vei Eliyahu	Tanna de-vei Eliyahu. · 880-01
Upanishaderna. Br̥hadāraṇyakopaniṣad	Upanishaderna. · [Br̥hadāraṇyakopaniṣad]
Bibeln	Bibeln. · [Geneva-Tomson.] · eng
Tripiṭaka. Vinayapiṭaka. Mūlasarvāstivādavinaya. Vinayavastu. Pravrajyāvastu	Pravrajyavāstu · tib
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · hrv
